"","LMA_gDW_m2.13.comps"
"Wave_767",0.0414837337434284
"Wave_768",0.0554306838341894
"Wave_769",0.0576196953859454
"Wave_770",0.059325519645311
"Wave_771",0.0602087300172361
"Wave_772",0.0757392047472656
"Wave_773",0.0723104446198154
"Wave_774",0.0725234448565697
"Wave_775",0.0737686601427021
"Wave_776",0.0876344962437474
"Wave_777",0.0655985201271849
"Wave_778",0.069121316379707
"Wave_779",0.0710062203348242
"Wave_780",0.0779959996775171
"Wave_781",0.101988246742877
"Wave_782",0.0907923013202385
"Wave_783",0.0833256852296403
"Wave_784",0.0826469390517989
"Wave_785",0.0581803830628159
"Wave_786",0.0749381041514713
"Wave_787",0.0887774812974585
"Wave_788",0.109739243787649
"Wave_789",0.103641257848363
"Wave_790",0.108012290991281
"Wave_791",0.0869095690239617
"Wave_792",0.0828060239610993
"Wave_793",0.0828902939928485
"Wave_794",0.0931101406750895
"Wave_795",0.113988112977356
"Wave_796",0.119200285642209
"Wave_797",0.113899594760434
"Wave_798",0.104710285720463
"Wave_799",0.0901344076807565
"Wave_800",0.0999536500751952
"Wave_801",0.115469002809258
"Wave_802",0.118638476735171
"Wave_803",0.111912688156947
"Wave_804",0.116126488425117
"Wave_805",0.11172452516035
"Wave_806",0.106636551991403
"Wave_807",0.101410767741876
"Wave_808",0.0779073855554245
"Wave_809",0.104859585406923
"Wave_810",0.108649084616592
"Wave_811",0.115173263537953
"Wave_812",0.110887471106416
"Wave_813",0.113546690485877
"Wave_814",0.111235972321756
"Wave_815",0.110976786000485
"Wave_816",0.10273311784609
"Wave_817",0.0940755693182724
"Wave_818",0.108785235505631
"Wave_819",0.099883682890333
"Wave_820",0.0929768948696875
"Wave_821",0.0987037577275491
"Wave_822",0.102351526952839
"Wave_823",0.0987352360054618
"Wave_824",0.0847713804640128
"Wave_825",0.0721144833965793
"Wave_826",0.0763023025677331
"Wave_827",0.0838772824210656
"Wave_828",0.0878979946227554
"Wave_829",0.0682370853485864
"Wave_830",0.0656320199631545
"Wave_831",0.0535391463654443
"Wave_832",0.0413935201155143
"Wave_833",0.0526205796608934
"Wave_834",0.0652883303780057
"Wave_835",0.0723221995196145
"Wave_836",0.0605853187823222
"Wave_837",0.0570648301879354
"Wave_838",0.0495665937558771
"Wave_839",0.0417253542276093
"Wave_840",0.041360430961916
"Wave_841",0.0345136716913236
"Wave_842",0.0116381614546155
"Wave_843",0.0380384871397837
"Wave_844",0.0215373413107822
"Wave_845",0.0063386473846281
"Wave_846",0.030285807462119
"Wave_847",0.0287542060203656
"Wave_848",-0.00471376830372927
"Wave_849",0.028737120028686
"Wave_850",0.00622140725002322
"Wave_851",-0.005318689347428
"Wave_852",-0.00399934601389998
"Wave_853",-0.0178491702395826
"Wave_854",0.0234302073030398
"Wave_855",0.0344257437857965
"Wave_856",0.0138631545133183
"Wave_857",0.00200504997464155
"Wave_858",-0.0146663126980318
"Wave_859",-0.031300759183073
"Wave_860",-0.041065497486762
"Wave_861",-0.0294280245559967
"Wave_862",-0.0267778853205762
"Wave_863",-0.0290866254037154
"Wave_864",-0.00694020231646135
"Wave_865",-0.00671070571727314
"Wave_866",-0.024849436786361
"Wave_867",-0.00518000902115118
"Wave_868",0.00125044944181779
"Wave_869",-0.00534480608513588
"Wave_870",0.000756645342288321
"Wave_871",-0.00320715940578729
"Wave_872",-0.0211145430500263
"Wave_873",-0.0546842758441552
"Wave_874",-0.0397802541747669
"Wave_875",-0.0431676988948658
"Wave_876",-0.0380174641879882
"Wave_877",-0.0185637330824701
"Wave_878",-0.0230361388172992
"Wave_879",-0.0037410653577119
"Wave_880",-0.0110529787799375
"Wave_881",-0.0268477868995617
"Wave_882",-0.013831278901469
"Wave_883",-0.0489647933564173
"Wave_884",-0.0325657405759657
"Wave_885",-0.0279321532752136
"Wave_886",-0.0280314766504517
"Wave_887",-0.0359597438332633
"Wave_888",-0.0519247695679228
"Wave_889",-0.0519283113299741
"Wave_890",-0.0371917482087855
"Wave_891",-0.022425184865733
"Wave_892",-0.0252066661873106
"Wave_893",-0.0441645151625403
"Wave_894",-0.0431762422819478
"Wave_895",-0.0352592330763062
"Wave_896",-0.0512659981382257
"Wave_897",-0.0428795948529093
"Wave_898",-0.0321800005044639
"Wave_899",-0.0309950894819053
"Wave_900",-0.0467619216925508
"Wave_901",-0.0432642957424662
"Wave_902",-0.0486893374834292
"Wave_903",-0.040640183090084
"Wave_904",-0.0357394326718602
"Wave_905",-0.0416679933850682
"Wave_906",-0.0445556450764795
"Wave_907",-0.0516095910698997
"Wave_908",-0.0852697032346622
"Wave_909",-0.0795570695854158
"Wave_910",-0.0699141139703961
"Wave_911",-0.0600987252481216
"Wave_912",-0.0532169059747004
"Wave_913",-0.082990119970766
"Wave_914",-0.103044176040439
"Wave_915",-0.0613903507785198
"Wave_916",-0.0570555760769067
"Wave_917",-0.056468793321979
"Wave_918",-0.0613266823138546
"Wave_919",-0.0604835671863524
"Wave_920",-0.0305839651794482
"Wave_921",-0.055326092163213
"Wave_922",-0.0803409493077387
"Wave_923",-0.0839747078179424
"Wave_924",-0.0812680701151881
"Wave_925",-0.0635304930815751
"Wave_926",-0.0318615441235173
"Wave_927",-0.0405153412401369
"Wave_928",-0.0857930418285567
"Wave_929",-0.0975021840114753
"Wave_930",-0.0916109576190232
"Wave_931",-0.0722722939844078
"Wave_932",-0.0434382143933471
"Wave_933",-0.0377930684142002
"Wave_934",-0.0376861642540372
"Wave_935",-0.0779122555975868
"Wave_936",-0.0616237468675102
"Wave_937",-0.0587125234829566
"Wave_938",-0.0622480039486872
"Wave_939",-0.0652956088618304
"Wave_940",-0.0731908984876574
"Wave_941",-0.0355585199541803
"Wave_942",-0.0526751699617245
"Wave_943",-0.0316977662417418
"Wave_944",-0.0152176426703522
"Wave_945",-0.0350095801691056
"Wave_946",-0.0622166072437079
"Wave_947",-0.0370427805904769
"Wave_948",0.0183584809737544
"Wave_949",-0.00986104542681169
"Wave_950",-0.0307586403160621
"Wave_951",-0.0337178429762028
"Wave_952",-0.0339279783277263
"Wave_953",-0.032057454600462
"Wave_954",-0.0227984954898445
"Wave_955",-0.0110416668936126
"Wave_956",0.0427466868104682
"Wave_957",0.00786944413155753
"Wave_958",-0.0250006694586991
"Wave_959",-0.0216947429577229
"Wave_960",-0.0171836991498975
"Wave_961",0.033481489861328
"Wave_962",0.0182275857561171
"Wave_963",-0.00993865147962488
"Wave_964",-0.0519837862435698
"Wave_965",-0.0884130080856135
"Wave_966",-0.0659287082342543
"Wave_967",-0.0156100289221348
"Wave_968",0.0172568610363723
"Wave_969",0.0424460199706157
"Wave_970",-0.0190971009512772
"Wave_971",-0.0520461639029626
