"","Nmass_mg_g.9.comps"
"Wave_647",0.00570865377354186
"Wave_648",0.00628697976169734
"Wave_649",0.00741402655645983
"Wave_650",0.0102567767884682
"Wave_651",0.0127449481299994
"Wave_652",0.0151327654527651
"Wave_653",0.0186706049173725
"Wave_654",0.0229769409186515
"Wave_655",0.028511375138906
"Wave_656",0.0328999842678198
"Wave_657",0.035505568212846
"Wave_658",0.0393886662453282
"Wave_659",0.044144069544656
"Wave_660",0.04956611736512
"Wave_661",0.057006782681873
"Wave_662",0.0640175743265533
"Wave_663",0.0694943945361054
"Wave_664",0.0738578151857723
"Wave_665",0.0804527801298233
"Wave_666",0.0854813736749229
"Wave_667",0.087710390787829
"Wave_668",0.0879365663111352
"Wave_669",0.085828409236454
"Wave_670",0.0837414109371448
"Wave_671",0.0821591918248934
"Wave_672",0.0830443364679178
"Wave_673",0.0826903621020324
"Wave_674",0.0819309890616704
"Wave_675",0.0822834863740688
"Wave_676",0.0837407695990454
"Wave_677",0.086227517252245
"Wave_678",0.0897544622205544
"Wave_679",0.0907297075804068
"Wave_680",0.0908384510446493
"Wave_681",0.0894470286701733
"Wave_682",0.0865169266083245
"Wave_683",0.0812350061201672
"Wave_684",0.0748346683642002
"Wave_685",0.0655526590612098
"Wave_686",0.0526353285420872
"Wave_687",0.036462963795757
"Wave_688",0.0195258537077431
"Wave_689",0.00212731171477505
"Wave_690",-0.0173703590460687
"Wave_691",-0.0390884194106544
"Wave_692",-0.0579617309492307
"Wave_693",-0.0780909886735941
"Wave_694",-0.103044663587113
"Wave_695",-0.113969077926434
"Wave_696",-0.124043659770002
"Wave_697",-0.139157162368021
"Wave_698",-0.152725796002992
"Wave_699",-0.157160161489314
"Wave_700",-0.166790986579179
"Wave_701",-0.173527050384933
"Wave_702",-0.167860953457969
"Wave_703",-0.160227074985376
"Wave_704",-0.160694168567016
"Wave_705",-0.160965475650968
"Wave_706",-0.143901162297241
"Wave_707",-0.128906333190475
"Wave_708",-0.125081242878535
"Wave_709",-0.113778373153583
"Wave_710",-0.0998361452445029
"Wave_711",-0.0832511966804177
"Wave_712",-0.0717309924871215
"Wave_713",-0.0586979998411626
"Wave_714",-0.0423346320408018
"Wave_715",-0.0298517591271267
"Wave_716",-0.0227888814050295
"Wave_717",-0.0196411708484388
"Wave_718",-0.0256754211026384
"Wave_719",-0.022932053129357
"Wave_720",-0.00542530876785999
"Wave_721",0.0177010677341741
"Wave_722",0.0304563277751993
"Wave_723",0.0333183987037666
"Wave_724",0.0409085207740553
"Wave_725",0.0497434152118394
"Wave_726",0.0582403361167233
"Wave_727",0.0586789735213375
"Wave_728",0.0632331507496766
"Wave_729",0.0679240750971895
"Wave_730",0.0644298164356059
"Wave_731",0.0664726642212367
"Wave_732",0.0685806323399526
"Wave_733",0.0706343915270959
"Wave_734",0.0701678780245061
"Wave_735",0.0676645331282865
"Wave_736",0.061924793851923
"Wave_737",0.0549264296559059
"Wave_738",0.0537189566635183
"Wave_739",0.0512656787634077
"Wave_740",0.0539544951128753
"Wave_741",0.048620444412446
"Wave_742",0.0393780204903716
"Wave_743",0.0357903391713109
"Wave_744",0.0264833956776966
"Wave_745",0.0234439566583067
"Wave_746",0.0204451105467964
"Wave_747",0.0144372427262112
"Wave_748",0.0100856759459307
"Wave_749",0.00485434795502436
"Wave_750",-0.00129085297556633
"Wave_751",-0.00306673552924181
"Wave_752",-0.0066354314618109
"Wave_753",-0.00926941566524575
"Wave_754",-0.0116709140236243
"Wave_755",-0.0148901279360302
"Wave_756",-0.0165610318686887
"Wave_757",-0.0268326174799634
"Wave_758",-0.0447536397484649
"Wave_759",-0.053800554092866
"Wave_760",-0.058376786982793
"Wave_761",-0.0505095341249121
"Wave_762",-0.0358154078931601
"Wave_763",-0.0470984452087711
"Wave_764",-0.0455238119015239
"Wave_765",-0.0322368910474979
"Wave_766",-0.0319073213789426
"Wave_767",-0.0320891025488605
"Wave_768",-0.0265563954573862
"Wave_769",-0.0303562224283463
"Wave_770",-0.0324705258868849
"Wave_771",-0.0348676653353427
"Wave_772",-0.0375209258765552
"Wave_773",-0.0383315909350487
"Wave_774",-0.0398623033372703
"Wave_775",-0.0421184264970711
