"","LMA_gDW_m2.9.comps"
"Wave_820",-0.0662018691594112
"Wave_821",-0.0634663312291174
"Wave_822",-0.0711315544038366
"Wave_823",-0.0557309109966736
"Wave_824",-0.0359840201154441
"Wave_825",-0.0663738552619385
"Wave_826",-0.0575400462953879
"Wave_827",-0.0515117815135477
"Wave_828",-0.0414782689926337
"Wave_829",-0.0706464684017761
"Wave_830",-0.070571704888791
"Wave_831",-0.0475755814394941
"Wave_832",-0.056587658874725
"Wave_833",-0.0613999082588749
"Wave_834",-0.0851322453472932
"Wave_835",-0.0689037625649052
"Wave_836",-0.0685743256181021
"Wave_837",-0.066821461160587
"Wave_838",-0.0497289793968534
"Wave_839",-0.0663805675075893
"Wave_840",-0.0705240610032693
"Wave_841",-0.0735484600095858
"Wave_842",-0.0699953214274996
"Wave_843",-0.0614663181444902
"Wave_844",-0.0594358565746686
"Wave_845",-0.0699799720048686
"Wave_846",-0.0542341631198658
"Wave_847",-0.0812235301052884
"Wave_848",-0.0728602565648402
"Wave_849",-0.049774122607054
"Wave_850",-0.0415653323295692
"Wave_851",-0.0340637554503944
"Wave_852",-0.0522706361876943
"Wave_853",-0.0552674710662534
"Wave_854",-0.0625392772518901
"Wave_855",-0.0459724259352292
"Wave_856",-0.0576493698617054
"Wave_857",-0.0765268813399466
"Wave_858",-0.0768775533129297
"Wave_859",-0.0896932716281433
"Wave_860",-0.107918712133526
"Wave_861",-0.0887257843358679
"Wave_862",-0.041360580062702
"Wave_863",-0.0978914066853494
"Wave_864",-0.0067481322500252
"Wave_865",-0.128728568263308
"Wave_866",-0.08298744210339
"Wave_867",-0.121904141540199
"Wave_868",-0.103808317453446
"Wave_869",-0.0666772480676864
"Wave_870",-0.0964249031411071
"Wave_871",-0.0670030819196074
"Wave_872",-0.0611010712018191
"Wave_873",-0.0989138015904664
"Wave_874",-0.0862383210260169
"Wave_875",-0.123333065814281
"Wave_876",-0.0964421845119748
"Wave_877",-0.0475775198094315
"Wave_878",-0.101744097489219
"Wave_879",-0.0627365853472885
"Wave_880",-0.0839114563529976
"Wave_881",-0.110166113216491
"Wave_882",-0.0606011673190917
"Wave_883",-0.0228999522871543
"Wave_884",-0.036982308695328
"Wave_885",-0.0840101546582253
"Wave_886",-0.0886990794133596
"Wave_887",-0.120482040393593
"Wave_888",-0.0441482508635897
"Wave_889",-0.00988025751933894
"Wave_890",-0.0770294255915074
"Wave_891",-0.0929291305579008
"Wave_892",-0.0928360652529616
"Wave_893",-0.0921094073358804
"Wave_894",-0.0732165603852483
"Wave_895",-0.0518472487260708
"Wave_896",-0.0312186420618289
"Wave_897",-0.0110391581297208
"Wave_898",0.0219880591021699
"Wave_899",0.00548666365473123
"Wave_900",0.02050641313074
"Wave_901",0.0156678258933741
"Wave_902",0.0113108641123016
"Wave_903",-0.00867635438718956
"Wave_904",-0.0404139012744897
"Wave_905",-0.138710724069474
"Wave_906",-0.062853250085892
"Wave_907",-0.104700381796124
"Wave_908",-0.0585211990962803
"Wave_909",-0.0134278328256788
"Wave_910",0.00715394169641025
"Wave_911",-0.0105911744165986
"Wave_912",-0.020496622960931
"Wave_913",-0.016556817469262
"Wave_914",0.0125446412169265
"Wave_915",-0.00974734284327428
"Wave_916",0.0235513841067239
"Wave_917",0.035045855308466
"Wave_918",0.0149079870303
"Wave_919",-0.0325391454987415
"Wave_920",-0.0664341572740049
"Wave_921",-0.0655967188093686
"Wave_922",-0.0394515499971143
"Wave_923",0.00642638380554735
