"","CN_ratio.16.comps"
"Wave_654",0.155079861465874
"Wave_655",0.143679687089151
"Wave_656",0.136391814838823
"Wave_657",0.127041218873024
"Wave_658",0.1167246599048
"Wave_659",0.105825175647135
"Wave_660",0.0936444977707837
"Wave_661",0.0792705824991627
"Wave_662",0.0689385935865632
"Wave_663",0.0523502895356755
"Wave_664",0.0445130712285774
"Wave_665",0.0407475277121995
"Wave_666",0.0393344764130071
"Wave_667",0.0474720680145864
"Wave_668",0.0494444480662999
"Wave_669",0.0445048563563584
"Wave_670",0.0369782194074023
"Wave_671",0.0322996487075988
"Wave_672",0.0335328010248219
"Wave_673",0.0334132344141882
"Wave_674",0.0261993188115064
"Wave_675",0.028623040469352
"Wave_676",0.0329242155029184
"Wave_677",0.0362522665060756
"Wave_678",0.0361002865851244
"Wave_679",0.0424023266657376
"Wave_680",0.0408506281448095
"Wave_681",0.0372308961316979
"Wave_682",0.0329435293747676
"Wave_683",0.02972926196375
"Wave_684",0.0244401165397904
"Wave_685",0.0147673368076493
"Wave_686",0.00359014407249556
"Wave_687",-0.013250360339618
"Wave_688",-0.0296664499076199
"Wave_689",-0.0346220853423438
"Wave_690",-0.0442465399190589
"Wave_691",-0.0583674502421071
"Wave_692",-0.0647909421543105
"Wave_693",-0.0605410650189138
"Wave_694",-0.0661269844561121
"Wave_695",-0.0520074005379737
"Wave_696",-0.0387842536566129
"Wave_697",-0.0160356658773461
"Wave_698",-0.0082631850661213
"Wave_699",0.0134726771065165
"Wave_700",0.0447022015501938
"Wave_701",0.0513939459818274
"Wave_702",0.0898128957152614
"Wave_703",0.0977188260779786
"Wave_704",0.0987160263361062
"Wave_705",0.0865975176851295
"Wave_706",0.112768889441243
"Wave_707",0.100455856289092
"Wave_708",0.0799715110988957
"Wave_709",0.0342766980384415
"Wave_710",0.0684089799768459
"Wave_711",0.0881046130980242
"Wave_712",0.0702107452885436
"Wave_713",0.00154381841044048
"Wave_714",0.0223911190651061
"Wave_715",0.031560799085443
"Wave_716",0.0154228358952961
"Wave_717",-0.0278170620910419
"Wave_718",-0.0278649986150799
"Wave_719",-0.00576308585312101
"Wave_720",0.00740729026318889
"Wave_721",-0.0205678981641072
"Wave_722",-0.0473975519312844
"Wave_723",-0.0309006451616817
"Wave_724",-0.0168228995750133
"Wave_725",-0.0145256317049445
"Wave_726",0.000860350980700669
"Wave_727",-0.00472053840844782
"Wave_728",-0.0132558430285317
"Wave_729",-0.00601812734703936
"Wave_730",-0.0236232320527523
"Wave_731",-0.0198829727373978
"Wave_732",-0.00938934875985768
"Wave_733",-0.00956393284614725
"Wave_734",-0.00191055433284607
"Wave_735",0.00279339875487238
"Wave_736",0.00246763948183639
"Wave_737",-0.00746149466591278
"Wave_738",-0.0301953058243978
"Wave_739",-0.0395704753145324
"Wave_740",-0.054694208026049
"Wave_741",-0.0561591912358821
"Wave_742",-0.0560205601520892
"Wave_743",-0.036064391251202
"Wave_744",-0.0444717838916809
"Wave_745",-0.0678446435322945
"Wave_746",-0.0706560121841983
"Wave_747",-0.0793717902836273
"Wave_748",-0.0819121706084786
"Wave_749",-0.0731466020447729
"Wave_750",-0.0585576531339209
"Wave_751",-0.0510485887285767
"Wave_752",-0.0435067932107855
"Wave_753",-0.0318661926622529
"Wave_754",-0.0171143177938195
"Wave_755",-0.0149879138982776
"Wave_756",-0.009105080149816
"Wave_757",0.00306433592201552
"Wave_758",0.00382061869204981
"Wave_759",-0.00950361704374536
"Wave_760",-0.0103174910974809
"Wave_761",0.00115718590268849
"Wave_762",0.00618185226182926
"Wave_763",-0.00384731561013967
"Wave_764",-0.00451501910613412
"Wave_765",-0.00475223702232199
"Wave_766",-0.0122677111755452
"Wave_767",-0.00710587146558022
"Wave_768",0.00280647703875294
"Wave_769",0.0126882071312711
"Wave_770",0.0170842229408124
"Wave_771",0.0201069473460314
"Wave_772",0.0150877622965982
"Wave_773",-0.00335356754660727
"Wave_774",-0.0124160650847076
"Wave_775",0.00269451087868675
"Wave_776",0.0195766912373279
"Wave_777",0.00237722017185453
"Wave_778",-0.00651012244159528
"Wave_779",0.0019716196399836
"Wave_780",0.0119729349135819
"Wave_781",0.0342231410766061
"Wave_782",0.0276001026908579
"Wave_783",0.0273083107528118
"Wave_784",0.015883234473594
"Wave_785",-0.0279597080414189
"Wave_786",-0.0216854859627085
"Wave_787",-0.00841771481530235
"Wave_788",0.00343506372977426
"Wave_789",0.0138503326829209
"Wave_790",0.0291169079075869
"Wave_791",0.00758290615182215
"Wave_792",0.000557979533598639
"Wave_793",0.00996862854441157
"Wave_794",0.0213201882454916
"Wave_795",0.0366484638857559
"Wave_796",0.0532049137589757
"Wave_797",0.0557012481843924
"Wave_798",0.0364118643753209
"Wave_799",0.00435815617620546
"Wave_800",0.0249195937343872
"Wave_801",0.0328305213060373
