"","Narea_g_m2.7.comps"
"Wave_755",8.4343861572977e-05
"Wave_756",0.000187712876435903
"Wave_757",-0.00146241981244848
"Wave_758",-0.0035377056950526
"Wave_759",-0.0088960543819867
"Wave_760",-0.0158105675011252
"Wave_761",-0.0235422563627992
"Wave_762",-0.0249867325417093
"Wave_763",-0.0194892187142278
"Wave_764",-0.0136954532306492
"Wave_765",-0.00878616913611851
"Wave_766",-0.0039175276946701
"Wave_767",-0.00164012027285227
"Wave_768",0.000183216084180512
"Wave_769",0.00174140507371743
"Wave_770",0.0025915462391383
"Wave_771",0.00254754759376654
"Wave_772",0.00308739478080018
"Wave_773",0.00282004031841267
"Wave_774",0.00226531400751141
"Wave_775",0.00341517309879455
"Wave_776",0.00379296819413269
"Wave_777",0.00360183060389932
"Wave_778",0.00346408319431909
"Wave_779",0.00371735172911776
"Wave_780",0.00332343455159683
"Wave_781",0.00321665633551434
"Wave_782",0.00291065423709714
"Wave_783",0.00257025102538407
"Wave_784",0.00259682916459761
"Wave_785",0.0032475312895286
"Wave_786",0.00314540067010232
"Wave_787",0.00286060721184274
"Wave_788",0.00297403247600893
"Wave_789",0.00288048353126491
"Wave_790",0.0030021664337205
"Wave_791",0.00228101740841422
"Wave_792",0.00229761250333968
"Wave_793",0.00262223771343608
"Wave_794",0.00220015263134692
"Wave_795",0.00277929553132428
"Wave_796",0.00242737547304475
"Wave_797",0.00289803205665646
"Wave_798",0.0023817659286565
"Wave_799",0.00218433822835816
"Wave_800",0.00205510408916641
"Wave_801",0.00102692978241872
"Wave_802",0.00174076315442691
"Wave_803",0.00339748335846411
"Wave_804",0.00284278427697637
"Wave_805",0.00356442167546519
"Wave_806",0.00268903829387989
"Wave_807",0.00206991915906894
"Wave_808",0.00288616870128097
"Wave_809",0.000953024317953664
"Wave_810",0.000272418125926996
"Wave_811",-0.000590670483374049
"Wave_812",-0.00154226409222527
"Wave_813",-0.00344626444396849
"Wave_814",-0.00406468362398958
"Wave_815",-0.00471192442469667
"Wave_816",-0.00563883790459321
"Wave_817",-0.00592641357957121
"Wave_818",-0.00655239457068289
"Wave_819",-0.00823988127472627
"Wave_820",-0.00624736173733358
"Wave_821",-0.00506912053740816
"Wave_822",-0.00497758863081081
"Wave_823",-0.00527248944632276
"Wave_824",-0.00535284222389561
"Wave_825",-0.00605826814377839
"Wave_826",-0.00387010308412512
"Wave_827",-0.00205160312946842
"Wave_828",-0.00166248459694433
"Wave_829",-0.00316380606313644
"Wave_830",-0.00337594962626541
"Wave_831",-0.00274250722266304
"Wave_832",-0.00259331080127277
"Wave_833",-0.00107158377272911
"Wave_834",-0.00139084216505749
"Wave_835",-0.000855030397626799
"Wave_836",-0.000992610869189017
"Wave_837",-0.00168514132317926
"Wave_838",-0.000682639168980103
"Wave_839",-0.000673736389404717
"Wave_840",-0.000414562101259851
"Wave_841",5.57565704755814e-05
"Wave_842",0.000269261635901271
"Wave_843",-0.000692887735243263
"Wave_844",0.000424146908707559
"Wave_845",0.00026187506415727
"Wave_846",0.000966392068399838
"Wave_847",-0.000727628346039066
"Wave_848",0.000567039460707836
"Wave_849",0.000619235582621947
"Wave_850",0.000275770123859701
"Wave_851",0.00141345600483017
"Wave_852",0.00103696127032169
"Wave_853",0.000781436994623191
"Wave_854",-9.70101263844496e-05
"Wave_855",-0.000403571766060193
"Wave_856",-0.000865806622132522
"Wave_857",-0.000612980713922094
"Wave_858",-1.73638798307207e-05
"Wave_859",-9.52318384625011e-05
"Wave_860",-0.00243250928137511
