"","Jmax_Spec_Tleaf.4.comps"
"Wave_623",0.0254815837831912
"Wave_624",0.0257597235797827
"Wave_625",0.02566831756901
"Wave_626",0.0255962623680904
"Wave_627",0.0256049822972231
"Wave_628",0.0257032103722551
"Wave_629",0.0254846761512033
"Wave_630",0.0252919686503348
"Wave_631",0.0251666046356844
"Wave_632",0.0251899481538763
"Wave_633",0.0255653498946114
"Wave_634",0.0258509707179331
"Wave_635",0.0259750486617979
"Wave_636",0.0258572032163556
"Wave_637",0.0260692704287308
"Wave_638",0.026420601116325
"Wave_639",0.026801525559352
"Wave_640",0.0269710316795473
"Wave_641",0.0274431083474057
"Wave_642",0.027897278042295
"Wave_643",0.0282551732602964
"Wave_644",0.0286037658810633
"Wave_645",0.0288556847315404
"Wave_646",0.0291123795948088
"Wave_647",0.0294777725773245
"Wave_648",0.0296563464656195
"Wave_649",0.0297632808882181
"Wave_650",0.0298240426192681
"Wave_651",0.0297723314436451
"Wave_652",0.0297879421876225
"Wave_653",0.029900017555577
"Wave_654",0.0300857078092225
"Wave_655",0.0300860595530487
"Wave_656",0.0302544827126905
"Wave_657",0.0303377055230824
"Wave_658",0.0303413865944076
"Wave_659",0.0304660536633377
"Wave_660",0.0307159762380788
"Wave_661",0.0308293608165918
"Wave_662",0.0308343155681597
"Wave_663",0.0307562738502026
"Wave_664",0.0306610048217158
"Wave_665",0.030617400203525
"Wave_666",0.0305976614766399
"Wave_667",0.0308119254569689
"Wave_668",0.0307729462476414
"Wave_669",0.0307342652091597
"Wave_670",0.0308331520831544
"Wave_671",0.0307269554518079
"Wave_672",0.0307072466237784
"Wave_673",0.0307376995447234
"Wave_674",0.0307552371055867
"Wave_675",0.0310704451058121
"Wave_676",0.0312662555041039
"Wave_677",0.0314519561998962
"Wave_678",0.0317194258357659
"Wave_679",0.0317424218488398
"Wave_680",0.031915962862677
"Wave_681",0.0322984089119786
"Wave_682",0.0328887739799039
"Wave_683",0.033203209656692
"Wave_684",0.033393943094856
"Wave_685",0.0334482392306539
"Wave_686",0.0335240381345332
"Wave_687",0.033377473836434
"Wave_688",0.0332125904127234
"Wave_689",0.0326704440845873
"Wave_690",0.0307311702117963
"Wave_691",0.0285113253661273
"Wave_692",0.0254767854695481
"Wave_693",0.0217470811622139
"Wave_694",0.0169650276836988
