"","Jmax25_Rog.13.comps"
"Wave_831",-0.0848144777497903
"Wave_832",-0.108674273306653
"Wave_833",-0.0934374737997181
"Wave_834",-0.106075196763268
"Wave_835",-0.11274130268424
"Wave_836",-0.110536102891588
"Wave_837",-0.0373392651300713
"Wave_838",-0.00333335331309152
"Wave_839",-0.0958406603718392
"Wave_840",-0.175982492837049
"Wave_841",-0.194398827587447
"Wave_842",-0.0359189280417166
"Wave_843",0.152199775050895
"Wave_844",0.0740477110726732
"Wave_845",0.0937551097271794
"Wave_846",-0.0760508929971376
"Wave_847",-0.252520814608871
"Wave_848",-0.270374508535066
"Wave_849",-0.10074842998818
"Wave_850",0.000308075359701412
"Wave_851",-0.0289012100403908
"Wave_852",-0.161124645335337
"Wave_853",-0.179115369801994
"Wave_854",-0.104613701446874
"Wave_855",-0.114861730729047
"Wave_856",0.0573201167971542
"Wave_857",0.0474642791730131
"Wave_858",-0.129374551966994
"Wave_859",-0.0807959512612037
"Wave_860",-0.0349382463294919
"Wave_861",0.240776013822805
"Wave_862",0.234584008446743
"Wave_863",0.0481296171215845
"Wave_864",-0.130861975693745
"Wave_865",-0.1431875756138
"Wave_866",-0.243844625162198
"Wave_867",-0.113897913942301
"Wave_868",0.00554650012625323
"Wave_869",0.0356488811310803
"Wave_870",-0.0986704859457799
"Wave_871",-0.155371825848252
"Wave_872",-0.131540799539357
"Wave_873",-0.195278799325426
"Wave_874",-0.0660470843213866
"Wave_875",0.111717173106507
"Wave_876",0.0409643782889036
"Wave_877",-0.0507753571811474
"Wave_878",0.0484761216290616
"Wave_879",0.113481774765147
"Wave_880",0.0934547662927872
"Wave_881",0.0731852987037185
"Wave_882",-0.119927566815767
"Wave_883",-0.212416383739894
"Wave_884",-0.170776314401563
"Wave_885",-0.0869548877619151
"Wave_886",-0.0174631278733022
"Wave_887",-0.0483334927513041
"Wave_888",-0.226151641940527
"Wave_889",-0.158121471945735
"Wave_890",0.0956049332757676
"Wave_891",0.12419828798752
"Wave_892",0.216197530459484
"Wave_893",0.240984840278448
"Wave_894",0.151639010985956
"Wave_895",0.206605616070263
"Wave_896",-0.117433104643507
"Wave_897",-0.0323568383362714
"Wave_898",0.346313548480857
"Wave_899",0.538393394112819
"Wave_900",0.229927812636841
"Wave_901",0.0375930524529759
"Wave_902",0.222937535502285
"Wave_903",0.0317029727691863
"Wave_904",-0.0021489751294621
"Wave_905",0.123725103457624
"Wave_906",0.243950757450928
"Wave_907",0.42334991836328
"Wave_908",0.400390475361856
"Wave_909",0.283849726546587
"Wave_910",0.16915296305746
"Wave_911",0.017986508511412
"Wave_912",-0.00068670976763445
"Wave_913",0.152874412677372
"Wave_914",0.35380686638372
"Wave_915",0.445748552504789
"Wave_916",0.360119645264745
"Wave_917",0.296603529863524
"Wave_918",0.238706995400021
"Wave_919",0.208861378811488
"Wave_920",0.36585706574602
"Wave_921",0.324792704787716
"Wave_922",0.285771862119103
"Wave_923",0.0613835560388456
"Wave_924",-0.0613478979880771
"Wave_925",-0.0423642602526669
"Wave_926",0.119818882379701
"Wave_927",0.464038726708982
"Wave_928",0.602865153425232
"Wave_929",0.0559341619012254
"Wave_930",-0.0652316730030501
"Wave_931",-0.0969124609067513
"Wave_932",0.226493161951483
"Wave_933",0.595567511472906
"Wave_934",0.521710336380027
"Wave_935",0.287822317166403
"Wave_936",0.626932373320728
"Wave_937",0.28490388314168
"Wave_938",0.00279930876489636
"Wave_939",0.15928653489296
"Wave_940",0.541940220395132
"Wave_941",0.679403605457937
"Wave_942",0.500886924950058
"Wave_943",-0.183858873459882
"Wave_944",-0.136378988390437
"Wave_945",0.387062399884331
"Wave_946",0.69811301933501
"Wave_947",0.540059767296563
"Wave_948",0.255847640023064
"Wave_949",0.124643057071964
"Wave_950",0.282189478180858
"Wave_951",0.547867266322342
"Wave_952",0.773057170843161
"Wave_953",0.819232110058131
"Wave_954",0.594087174074334
"Wave_955",0.210285345790362
"Wave_956",0.315470599415435
"Wave_957",0.590626286773729
"Wave_958",0.597328792659538
"Wave_959",0.420357914485392
"Wave_960",0.272941961053134
"Wave_961",0.299759950539079
"Wave_962",0.427618091620715
"Wave_963",0.243829753583825
"Wave_964",0.902412930253762
"Wave_965",0.937199444972993
"Wave_966",0.577648042700632
"Wave_967",0.137163052081309
"Wave_968",-0.102256259800818
"Wave_969",0.343510572587832
"Wave_970",0.443132564940657
"Wave_971",0.434892553033181
"Wave_972",0.500304612480694
"Wave_973",0.4697639489121
"Wave_974",0.447198479988488
"Wave_975",0.405104463061204
"Wave_976",0.27185170768081
"Wave_977",0.0288870348825775
"Wave_978",-0.211188022256208
"Wave_979",-0.408973287139772
"Wave_980",-0.341398675004327
"Wave_981",-0.113343396514397
"Wave_982",0.118725887367255
"Wave_983",0.406833713644491
"Wave_984",0.515749448524885
"Wave_985",0.576256211629795
"Wave_986",0.661776925056224
"Wave_987",0.777242293913079
"Wave_988",0.633124449321544
"Wave_989",0.505817937561556
"Wave_990",0.40873748689054
"Wave_991",0.350078113002657
"Wave_992",0.38168758858944
"Wave_993",0.397723154350042
"Wave_994",0.427351737722951
"Wave_995",0.51276848922808
"Wave_996",0.626497759103721
"Wave_997",0.746538078407052
"Wave_998",0.864765727009433
"Wave_999",0.953500233349048
"Wave_1000",1.00845083302962
"Wave_1001",1.06721433520704
"Wave_1002",1.1335156565792
"Wave_1003",1.12251070451496
"Wave_1004",1.08965790725701
"Wave_1005",1.05142208541405
"Wave_1006",0.994276033434522
"Wave_1007",0.989603561012077
"Wave_1008",0.970051607568431
"Wave_1009",0.943533586653532
"Wave_1010",0.914809479952967
"Wave_1011",0.857690042905077
"Wave_1012",0.788003916864152
"Wave_1013",0.713092980751552
"Wave_1014",0.65231509394182
"Wave_1015",0.619373154871684
"Wave_1016",0.592568424465084
"Wave_1017",0.538736852192657
"Wave_1018",0.486761312069455
"Wave_1019",0.504939529593065
"Wave_1020",0.538765059740852
"Wave_1021",0.560535837613053
"Wave_1022",0.576807624982224
"Wave_1023",0.528471530629009
"Wave_1024",0.478454736247502
"Wave_1025",0.402409372581654
"Wave_1026",0.337379466322618
"Wave_1027",0.306424619960437
"Wave_1028",0.273031994051462
"Wave_1029",0.21557263819936
"Wave_1030",0.212466854423059
"Wave_1031",0.230942920914048
"Wave_1032",0.241332658238825
"Wave_1033",0.24212799154545
"Wave_1034",0.235384313119008
"Wave_1035",0.225678186609425
"Wave_1036",0.204745407327008
"Wave_1037",0.195356480229701
"Wave_1038",0.175843407210516
"Wave_1039",0.14902705117458
"Wave_1040",0.122857765272041
"Wave_1041",0.0889852725689422
"Wave_1042",0.0917232662703337
"Wave_1043",0.100153300223832
"Wave_1044",0.0978013206835296
"Wave_1045",0.0907113797190369
"Wave_1046",0.0877549757667422
"Wave_1047",0.0886629558070587
"Wave_1048",0.08003808425973
"Wave_1049",0.0806721809997648
"Wave_1050",0.0554035134845884
"Wave_1051",0.0370560717849379
"Wave_1052",0.0377441839073181
"Wave_1053",0.024160107794281
"Wave_1054",0.0160987865880396
"Wave_1055",0.00783845074186612
"Wave_1056",0.00881092272971109
"Wave_1057",0.0277158577552178
"Wave_1058",0.0428936628500832
"Wave_1059",0.0442971791599643
"Wave_1060",0.0191617218850794
"Wave_1061",0.0154266068286685
"Wave_1062",0.014124489989677
"Wave_1063",0.0184471748976513
"Wave_1064",0.0478803120635608
"Wave_1065",0.0549473249265363
"Wave_1066",0.0676770995822939
"Wave_1067",0.0907587966740545
"Wave_1068",0.0681109803652808
"Wave_1069",0.0420740977622153
"Wave_1070",0.0152194606780536
"Wave_1071",-0.0470016808199868
"Wave_1072",-0.0868593411109472
"Wave_1073",-0.127893655582696
"Wave_1074",-0.166059263555085
"Wave_1075",-0.199404833424157
"Wave_1076",-0.182206365323754
"Wave_1077",-0.152340359578446
"Wave_1078",-0.130433685626305
"Wave_1079",-0.0755519216204153
"Wave_1080",-0.0810495369904675
"Wave_1081",-0.102696525668491
"Wave_1082",-0.134151663271131
"Wave_1083",-0.141281404330393
"Wave_1084",-0.134263944300914
"Wave_1085",-0.128864759084528
"Wave_1086",-0.126622431816328
"Wave_1087",-0.124890814027371
"Wave_1088",-0.100194807102849
"Wave_1089",-0.0598591633790259
"Wave_1090",-0.0274920280279199
"Wave_1091",-0.0148165899866088
"Wave_1092",-0.073843042285196
"Wave_1093",-0.112801672064591
"Wave_1094",-0.176111946779691
"Wave_1095",-0.189100873891466
"Wave_1096",-0.203768754377295
"Wave_1097",-0.211793171364751
"Wave_1098",-0.235282946281745
"Wave_1099",-0.232970539458286
"Wave_1100",-0.24428895234777
"Wave_1101",-0.26302434540803
"Wave_1102",-0.266911830280554
"Wave_1103",-0.247309594302246
"Wave_1104",-0.262050862047678
"Wave_1105",-0.235058040214416
"Wave_1106",-0.228153525181695
"Wave_1107",-0.221049512619915
"Wave_1108",-0.226556149267364
"Wave_1109",-0.218247917365007
"Wave_1110",-0.233174043719979
"Wave_1111",-0.208219841063998
"Wave_1112",-0.18589299577304
"Wave_1113",-0.164396328579721
"Wave_1114",-0.139712092731258
"Wave_1115",-0.103220910260857
"Wave_1116",-0.105113518732678
"Wave_1117",-0.0820378418899479
"Wave_1118",-0.0969145109232363
"Wave_1119",-0.112950344690998
"Wave_1120",-0.150957621229842
"Wave_1121",-0.15917902946634
"Wave_1122",-0.177826959833054
"Wave_1123",-0.178143644379038
"Wave_1124",-0.208501515295438
"Wave_1125",-0.232430982656324
"Wave_1126",-0.209919331057772
"Wave_1127",-0.168256919769633
"Wave_1128",-0.200829338647177
"Wave_1129",-0.173398893945002
"Wave_1130",-0.159383661242284
"Wave_1131",-0.157602923994012
"Wave_1132",-0.170469507387349
"Wave_1133",-0.1457335199316
"Wave_1134",-0.119697119158696
"Wave_1135",-0.125847051887936
"Wave_1136",-0.12860489441688
"Wave_1137",-0.113412747451683
"Wave_1138",-0.108481982302728
"Wave_1139",-0.123787785683281
"Wave_1140",-0.146584688297681
"Wave_1141",-0.13255698442959
"Wave_1142",-0.118267517158815
"Wave_1143",-0.0693430985330417
"Wave_1144",-0.0580256274133629
"Wave_1145",-0.104831126493998
"Wave_1146",-0.162641029032519
"Wave_1147",-0.160050894752047
"Wave_1148",-0.181175561415299
"Wave_1149",-0.206190398070626
"Wave_1150",-0.220822930937495
"Wave_1151",-0.218008707248264
"Wave_1152",-0.223722010750282
"Wave_1153",-0.181890524754398
"Wave_1154",-0.109366814173239
"Wave_1155",-0.0277624014685735
"Wave_1156",-0.0766520551284087
"Wave_1157",-0.160370167172211
"Wave_1158",-0.239002345948842
"Wave_1159",-0.293116799781025
"Wave_1160",-0.317715789549239
"Wave_1161",-0.340764737413523
"Wave_1162",-0.332995516527553
"Wave_1163",-0.317723441805756
"Wave_1164",-0.313343703017964
"Wave_1165",-0.294775357450707
"Wave_1166",-0.27846111617898
"Wave_1167",-0.26535921073035
"Wave_1168",-0.252128721050965
"Wave_1169",-0.245551905800868
"Wave_1170",-0.247356519555002
"Wave_1171",-0.234513491170472
"Wave_1172",-0.219850501901758
"Wave_1173",-0.214688097370031
"Wave_1174",-0.191072638409142
"Wave_1175",-0.176984166630357
"Wave_1176",-0.120099177486786
"Wave_1177",-0.131527850714484
"Wave_1178",-0.139091424476178
"Wave_1179",-0.128636997666853
"Wave_1180",-0.119588097751546
"Wave_1181",-0.111603076472249
"Wave_1182",-0.0980967747292147
"Wave_1183",-0.0941308133226793
"Wave_1184",-0.0896817659573972
"Wave_1185",-0.0935905596362929
"Wave_1186",-0.103386828303181
"Wave_1187",-0.122539522053789
"Wave_1188",-0.146989116610472
"Wave_1189",-0.130441410413
"Wave_1190",-0.0774297384329952
"Wave_1191",-0.022427397634697
"Wave_1192",0.0498974360457081
"Wave_1193",0.0822174088469126
"Wave_1194",0.01363343773312
"Wave_1195",-0.066942038448802
"Wave_1196",-0.136419861870655
"Wave_1197",-0.172364681727405
"Wave_1198",-0.176132845283913
"Wave_1199",-0.177309246403115
"Wave_1200",-0.168304742675828
"Wave_1201",-0.156708163581099
"Wave_1202",-0.143419970942502
"Wave_1203",-0.130669905602915
