"","Nmass_mg_g.5.comps"
"Wave_1037",0.00252848321452657
"Wave_1038",0.00253507765827176
"Wave_1039",0.00244298765049495
"Wave_1040",0.00299276971448304
"Wave_1041",0.00267157301694133
"Wave_1042",0.0016822211550175
"Wave_1043",0.00128710996175733
"Wave_1044",0.000805603930555633
"Wave_1045",0.000539709634720342
"Wave_1046",0.000404649841488884
"Wave_1047",0.000296802553666421
"Wave_1048",0.000201922181611321
"Wave_1049",4.45302756111403e-05
"Wave_1050",-0.000169521621003789
"Wave_1051",-0.000395630226556089
"Wave_1052",-0.000649886772576885
"Wave_1053",-0.000871866200953331
"Wave_1054",-0.00110569553922907
"Wave_1055",-0.00140054534203093
"Wave_1056",-0.00171777139703662
"Wave_1057",-0.00197963729028714
"Wave_1058",-0.00217930464580303
"Wave_1059",-0.00167403775783923
"Wave_1060",-0.00242059436497365
"Wave_1061",-0.00244746809362044
"Wave_1062",-0.00250719287812345
"Wave_1063",-0.00259598364116334
"Wave_1064",-0.00281066614073817
"Wave_1065",-0.00291048895427738
"Wave_1066",-0.00298692359533162
"Wave_1067",-0.00294464944269934
"Wave_1068",-0.00274396389559469
"Wave_1069",-0.00256831475402298
"Wave_1070",-0.00237555743781967
"Wave_1071",-0.00218676724510408
"Wave_1072",-0.00131203709598729
"Wave_1073",-0.00109748668408262
"Wave_1074",-0.000998662962448199
"Wave_1075",-0.000968659630435939
"Wave_1076",-0.000879072948874282
"Wave_1077",-0.00069690807906422
"Wave_1078",-0.000513918950496368
"Wave_1079",-0.000463148187290606
"Wave_1080",-0.000459090800794939
"Wave_1081",-0.000454661188349404
"Wave_1082",-0.000489716826094863
"Wave_1083",-0.000610234473111608
"Wave_1084",-0.000669036001012131
"Wave_1085",-0.000789249739340791
"Wave_1086",-0.000955345748343819
"Wave_1087",-0.00109061364136998
"Wave_1088",-0.00115823058734417
"Wave_1089",-0.00121264155353889
"Wave_1090",-0.00189091567446327
"Wave_1091",-0.00119451539802295
"Wave_1092",-0.00132001196995569
"Wave_1093",-0.0021548484073614
"Wave_1094",-0.00174103509010132
"Wave_1095",-0.00209141113978396
"Wave_1096",-0.00307760039052134
"Wave_1097",-0.00346156993185239
"Wave_1098",-0.00386812000697043
"Wave_1099",-0.00425304930992279
"Wave_1100",-0.00460689515509111
"Wave_1101",-0.00414570135514891
"Wave_1102",-0.00492468123217227
"Wave_1103",-0.00484789016174535
"Wave_1104",-0.00480101871513879
"Wave_1105",-0.00495397224589883
"Wave_1106",-0.00508048457663338
"Wave_1107",-0.00448840544650178
"Wave_1108",-0.00464642443033998
"Wave_1109",-0.00501956617354742
"Wave_1110",-0.00551132462831868
"Wave_1111",-0.00652128722721398
"Wave_1112",-0.00693711296770417
"Wave_1113",-0.00677872816114314
"Wave_1114",-0.00775863247320556
"Wave_1115",-0.00789420845339598
"Wave_1116",-0.00820618627424458
"Wave_1117",-0.00885596350776335
"Wave_1118",-0.0089485934600909
"Wave_1119",-0.00967786401072484
"Wave_1120",-0.0108588395905723
"Wave_1121",-0.010299127336648
"Wave_1122",-0.0100680280833918
"Wave_1123",-0.00981039284299123
"Wave_1124",-0.00941900490186709
"Wave_1125",-0.00894632747724767
"Wave_1126",-0.00789461155948799
"Wave_1127",-0.00686821695043808
"Wave_1128",-0.00603624701051029
"Wave_1129",-0.00543354933378802
"Wave_1130",-0.00478674684459318
"Wave_1131",-0.00416278557749268
"Wave_1132",-0.0036042828219808
