"","Narea_g_m2.16.comps"
"Wave_613",-0.00447082952898767
"Wave_614",-0.00405296733668497
"Wave_615",-0.00299396513226436
"Wave_616",-0.00199495198294728
"Wave_617",-0.00195398891526826
"Wave_618",-0.00117594092735906
"Wave_619",-0.000708874497369744
"Wave_620",-0.00104014878817816
"Wave_621",-0.00165249083302458
"Wave_622",-0.00103099180575939
"Wave_623",2.52964995219561e-05
"Wave_624",0.000694819051045749
"Wave_625",-0.000262900109339787
"Wave_626",-0.00134593448462168
"Wave_627",-0.00184073092494597
"Wave_628",-0.00107892929900798
"Wave_629",-0.000734733759102469
"Wave_630",0.000196828377911317
"Wave_631",0.00083272168708501
"Wave_632",0.00126406392093076
"Wave_633",0.00244577845553973
"Wave_634",0.00308430056486217
"Wave_635",0.0038526270514261
"Wave_636",0.00462813751202212
"Wave_637",0.0057563758290579
"Wave_638",0.00659295988360908
"Wave_639",0.00744035383884633
"Wave_640",0.00760490665727533
"Wave_641",0.00814448990928929
"Wave_642",0.00836548028575018
"Wave_643",0.0080741827411096
"Wave_644",0.00716673360627953
"Wave_645",0.00642217032035635
"Wave_646",0.00594486405974885
"Wave_647",0.00505841767476147
"Wave_648",0.00458887348080383
"Wave_649",0.00435452644102194
"Wave_650",0.00344163134537597
"Wave_651",0.0012901031635167
"Wave_652",0.000276277634322336
"Wave_653",-0.000276562654825817
"Wave_654",-0.000472292189020097
"Wave_655",-0.0012064740237076
"Wave_656",-0.00184391877164347
"Wave_657",-0.00258897253692186
"Wave_658",-0.0033632486388915
"Wave_659",-0.00355971721837784
"Wave_660",-0.00476991005470974
"Wave_661",-0.00616658705483877
"Wave_662",-0.00764513118507358
"Wave_663",-0.00754454054069296
"Wave_664",-0.00764768904228158
"Wave_665",-0.00842013718294658
"Wave_666",-0.0100782956150868
"Wave_667",-0.0123935879262702
"Wave_668",-0.0140376977838291
"Wave_669",-0.0146654617171233
"Wave_670",-0.014789647425278
"Wave_671",-0.0150959758459732
"Wave_672",-0.0154579946012179
"Wave_673",-0.0161823468226404
"Wave_674",-0.0172263746253983
"Wave_675",-0.0174384357667306
"Wave_676",-0.0169961435638571
"Wave_677",-0.0158354696505672
"Wave_678",-0.0151198051191741
"Wave_679",-0.0155794168239322
"Wave_680",-0.0142218311397922
"Wave_681",-0.011902701535122
"Wave_682",-0.010677249854711
"Wave_683",-0.00884784198545126
"Wave_684",-0.00567039579364906
"Wave_685",-0.00124136310773916
"Wave_686",0.00354859656262201
"Wave_687",0.00742920415155149
"Wave_688",0.0114662481555286
"Wave_689",0.0144470657983373
"Wave_690",0.0164055785234212
"Wave_691",0.0168226413067168
"Wave_692",0.016704025405826
"Wave_693",0.0159043505778848
"Wave_694",0.0134156459917481
"Wave_695",0.00892794215337845
"Wave_696",0.00402647986626651
"Wave_697",-0.00180733583947074
"Wave_698",-0.00708996118797979
"Wave_699",-0.0115150656042914
"Wave_700",-0.0166975566466132
"Wave_701",-0.0192267337278604
"Wave_702",-0.0233074020989437
"Wave_703",-0.0234745014509818
"Wave_704",-0.0220926552752576
"Wave_705",-0.0185348661623381
"Wave_706",-0.0186393740689106
"Wave_707",-0.0144070754867579
"Wave_708",-0.00949340495757472
"Wave_709",-0.00203701544896871
"Wave_710",-0.00209496771952834
"Wave_711",-0.0024811302476714
"Wave_712",0.000495651062212878
"Wave_713",0.0102359903855447
"Wave_714",0.0101610770941416
"Wave_715",0.00970950886687476
"Wave_716",0.0112961637924878
"Wave_717",0.0144635025617068
"Wave_718",0.0131332754653583
"Wave_719",0.0101608851929667
"Wave_720",0.00801171434534022
"Wave_721",0.00880944493116635
"Wave_722",0.0098794161509606
"Wave_723",0.00634355378767464
"Wave_724",0.00332168950600581
"Wave_725",0.000711075112773555
"Wave_726",-0.00243965998382248
"Wave_727",-0.00367290381849258
"Wave_728",-0.00381437849477276
"Wave_729",-0.0062097725679234
"Wave_730",-0.00618321825211767
"Wave_731",-0.00716584354782862
"Wave_732",-0.00936498355362097
"Wave_733",-0.00946329795260048
"Wave_734",-0.0102882808348624
"Wave_735",-0.0108353934023022
"Wave_736",-0.0112447881878781
"Wave_737",-0.00932600065874422
"Wave_738",-0.00473287717893937
"Wave_739",-0.00238707953105795
