"","Jmax_Spec_Tleaf.9.comps"
"Wave_797",0.195852451701921
"Wave_798",0.199833482442108
"Wave_799",0.198544689154208
"Wave_800",0.185508447093723
"Wave_801",0.176024738136102
"Wave_802",0.16804719568052
"Wave_803",0.15891497843665
"Wave_804",0.153040244550012
"Wave_805",0.143569935784466
"Wave_806",0.146149391358165
"Wave_807",0.138662609783753
"Wave_808",0.144383056422547
"Wave_809",0.144889853897016
"Wave_810",0.112634834736612
"Wave_811",0.0881874793772302
"Wave_812",0.079504637525143
"Wave_813",0.107051165096705
"Wave_814",0.122937936932776
"Wave_815",0.138811237092461
"Wave_816",0.145520561823212
"Wave_817",0.131527301407356
"Wave_818",0.127017628167482
"Wave_819",0.0982752817664109
"Wave_820",0.0911394506897348
"Wave_821",0.0915695646447748
"Wave_822",0.0844885931230401
"Wave_823",0.0407561958506313
"Wave_824",0.0180020383106207
"Wave_825",0.0061053215562053
"Wave_826",-0.0148213909995235
"Wave_827",-0.00629848000746159
"Wave_828",-0.00387438433532674
"Wave_829",-0.00932727553743644
"Wave_830",-0.00982730764539647
"Wave_831",-0.0330740927637399
"Wave_832",-0.0641969633082341
"Wave_833",-0.0934513006174814
"Wave_834",-0.103757733086542
"Wave_835",-0.112007099781934
"Wave_836",-0.0983486754123448
"Wave_837",-0.0967034569951214
"Wave_838",-0.121159414628403
"Wave_839",-0.155180718197656
"Wave_840",-0.177080178532858
"Wave_841",-0.181331182323199
"Wave_842",-0.192219273856415
"Wave_843",-0.191961426661454
"Wave_844",-0.193987394476881
"Wave_845",-0.205843497680904
"Wave_846",-0.234137748977505
"Wave_847",-0.247280908184053
"Wave_848",-0.222739155746005
"Wave_849",-0.222802071457366
"Wave_850",-0.238083591176697
"Wave_851",-0.262942640318868
"Wave_852",-0.288950710289997
"Wave_853",-0.302663248206428
"Wave_854",-0.306856933395104
"Wave_855",-0.305705903146571
"Wave_856",-0.301314219930764
"Wave_857",-0.292970127277547
"Wave_858",-0.297639624665689
"Wave_859",-0.34286859676633
"Wave_860",-0.324393826215298
"Wave_861",-0.2870863461004
"Wave_862",-0.272507616447819
"Wave_863",-0.294251624455626
"Wave_864",-0.336996099138259
"Wave_865",-0.321175150549691
"Wave_866",-0.30576166525465
"Wave_867",-0.290274072923702
"Wave_868",-0.298209799884275
"Wave_869",-0.331982773993129
"Wave_870",-0.340254561631647
"Wave_871",-0.362203160685068
"Wave_872",-0.36300325541462
"Wave_873",-0.325608906700019
"Wave_874",-0.315620252331207
"Wave_875",-0.315990428080434
"Wave_876",-0.336613397986947
"Wave_877",-0.302621105327332
"Wave_878",-0.368495282975885
"Wave_879",-0.352721084734798
"Wave_880",-0.340046368002701
"Wave_881",-0.369328474341211
"Wave_882",-0.395476914467385
"Wave_883",-0.390069149207887
"Wave_884",-0.348896716359856
"Wave_885",-0.31678639911903
"Wave_886",-0.31936180663314
"Wave_887",-0.337063821140013
"Wave_888",-0.341338804891932
"Wave_889",-0.349118686799543
"Wave_890",-0.312515304274835
"Wave_891",-0.295935876327243
"Wave_892",-0.271202437884872
"Wave_893",-0.221408077051656
"Wave_894",-0.222883361789047
"Wave_895",-0.215502523799624
"Wave_896",-0.260287370142471
"Wave_897",-0.217796230284392
"Wave_898",-0.19682640674745
"Wave_899",-0.187952234804322
"Wave_900",-0.208106002573812
"Wave_901",-0.172630810260023
"Wave_902",-0.200882194069697
"Wave_903",-0.191010302928678
"Wave_904",-0.174297221349903
"Wave_905",-0.167131022512408
"Wave_906",-0.151013146286906
"Wave_907",-0.0833533269952289
"Wave_908",-0.0946812771731197
"Wave_909",-0.085454893639026
"Wave_910",-0.17272867008031
"Wave_911",-0.234921834756609
"Wave_912",-0.229134820724014
"Wave_913",-0.147377631316279
"Wave_914",-0.0651991924893558
"Wave_915",-0.0347546531358507
"Wave_916",-0.151863413000905
"Wave_917",-0.244959243111454
"Wave_918",-0.302028100409672
"Wave_919",-0.269337197696628
"Wave_920",-0.14595450777911
"Wave_921",-0.0381927091596879
"Wave_922",-0.0768200414540263
"Wave_923",-0.104264800796504
"Wave_924",-0.0737527693163505
"Wave_925",-0.057272724229395
"Wave_926",-0.0493233860309249
"Wave_927",0.0426317190109316
"Wave_928",0.210232762249737
"Wave_929",0.339656435451599
"Wave_930",0.307182559597335
"Wave_931",0.288816025628822
"Wave_932",0.251655524748819
"Wave_933",0.186911288482669
"Wave_934",0.202219809567748
"Wave_935",0.180013921300729
"Wave_936",0.261407210269795
"Wave_937",0.277698867124297
"Wave_938",0.280660297570722
"Wave_939",0.365957607858962
"Wave_940",0.460802332252659
"Wave_941",0.416083579981903
"Wave_942",0.523316271674652
"Wave_943",0.472827049221495
"Wave_944",0.391740016080693
"Wave_945",0.239915635897139
"Wave_946",0.239879455107222
"Wave_947",0.350463911219492
"Wave_948",0.278286259881564
"Wave_949",0.585819722764206
"Wave_950",0.458464010326288
"Wave_951",0.353380731296602
"Wave_952",0.257834588856389
"Wave_953",0.142977215991245
"Wave_954",0.107349135685121
"Wave_955",0.302994112995707
"Wave_956",0.233023268867491
"Wave_957",0.325535806645858
"Wave_958",0.17861422663141
"Wave_959",0.126758876539909
"Wave_960",0.14899808952894
"Wave_961",0.171004225950442
"Wave_962",0.319702449624137
"Wave_963",0.0863498558985998
"Wave_964",-0.129008257634116
"Wave_965",-0.163678615870029
"Wave_966",0.0105840852302604
"Wave_967",0.188073818200601
"Wave_968",0.208280153040142
"Wave_969",0.126396529887675
"Wave_970",0.117834831921183
"Wave_971",0.104081415968805
"Wave_972",0.0938277804775319
"Wave_973",0.109269173824399
"Wave_974",0.127348238034633
"Wave_975",0.146274223678758
"Wave_976",0.154195018276655
"Wave_977",0.145020242982698
"Wave_978",0.135302442641063
"Wave_979",0.133076684209621
"Wave_980",0.137836055597461
"Wave_981",0.149159750176243
"Wave_982",0.156098697755516
"Wave_983",0.167131857908001
"Wave_984",0.184213355595282
"Wave_985",0.207782516781692
"Wave_986",0.230935590416436
"Wave_987",0.253087821218214
"Wave_988",0.238669357619898
"Wave_989",0.223443574447216
"Wave_990",0.211470377951238
"Wave_991",0.203193617070294
"Wave_992",0.20778961100007
"Wave_993",0.212580139972856
"Wave_994",0.213318896452976
"Wave_995",0.227097262686942
"Wave_996",0.247423278490818
"Wave_997",0.27227012005009
"Wave_998",0.297150815791702
"Wave_999",0.302077767708295
"Wave_1000",0.287955040341304
"Wave_1001",0.27378673432826
"Wave_1002",0.259635899502461
"Wave_1003",0.282564511465616
"Wave_1004",0.321764173632425
"Wave_1005",0.35667959497664
"Wave_1006",0.395870885660289
"Wave_1007",0.39313185981916
"Wave_1008",0.381398967677617
"Wave_1009",0.369670141317284
"Wave_1010",0.359252946910757
"Wave_1011",0.355345276605223
"Wave_1012",0.345757348872136
"Wave_1013",0.33622450260704
"Wave_1014",0.325838199620694
"Wave_1015",0.319053905467251
"Wave_1016",0.30825292233955
"Wave_1017",0.29749934551907
"Wave_1018",0.287952902040709
"Wave_1019",0.280711603542577
"Wave_1020",0.273522418801419
"Wave_1021",0.266343048725418
"Wave_1022",0.256747345814607
"Wave_1023",0.23972137351008
"Wave_1024",0.222720290092041
"Wave_1025",0.205716924367588
"Wave_1026",0.188498674624897
"Wave_1027",0.180360085546613
"Wave_1028",0.167694422876835
"Wave_1029",0.155389957533005
"Wave_1030",0.151290763288415
"Wave_1031",0.143897271375341
"Wave_1032",0.131917308767326
"Wave_1033",0.124312419270946
"Wave_1034",0.116753529901108
"Wave_1035",0.109680242873855
"Wave_1036",0.102630386724857
"Wave_1037",0.0963034616605804
"Wave_1038",0.0871646579825499
"Wave_1039",0.076547282818017
"Wave_1040",0.061278849935685
"Wave_1041",0.0497712548094207
"Wave_1042",0.042320855833754
"Wave_1043",0.0301960263969393
"Wave_1044",0.0181232199711813
"Wave_1045",0.0129739093183713
"Wave_1046",0.00626557433504237
"Wave_1047",-0.00047810430265954
"Wave_1048",-0.00717583403081264
"Wave_1049",-0.0138971507897453
"Wave_1050",-0.0207924488118971
"Wave_1051",-0.0276476672285839
"Wave_1052",-0.0340823163737036
"Wave_1053",-0.0396261503740738
"Wave_1054",-0.0452615300596512
"Wave_1055",-0.0509071832857604
"Wave_1056",-0.0546893119677098
"Wave_1057",-0.0582494357413639
"Wave_1058",-0.062819727390315
"Wave_1059",-0.0720763854254725
"Wave_1060",-0.0737354961016504
"Wave_1061",-0.0815165308998763
"Wave_1062",-0.0895304199933104
"Wave_1063",-0.0974870891965526
"Wave_1064",-0.100841487457557
"Wave_1065",-0.107887325660958
"Wave_1066",-0.114931038911269
"Wave_1067",-0.12197776741388
"Wave_1068",-0.129607040708149
"Wave_1069",-0.136631079646387
"Wave_1070",-0.143678872632107
"Wave_1071",-0.150443904811533
"Wave_1072",-0.16185435523716
"Wave_1073",-0.169626817398589
"Wave_1074",-0.177388453642746
"Wave_1075",-0.181403918848981
"Wave_1076",-0.180067108688271
"Wave_1077",-0.177574118872628
"Wave_1078",-0.175110390079544
"Wave_1079",-0.172984830722011
"Wave_1080",-0.17444696972805
"Wave_1081",-0.176778956846954
"Wave_1082",-0.179121198740949
"Wave_1083",-0.172219563636189
"Wave_1084",-0.162721960716169
"Wave_1085",-0.153012330237728
"Wave_1086",-0.144141164098521
"Wave_1087",-0.138722305159888
"Wave_1088",-0.134211042448834
"Wave_1089",-0.129737885344163
"Wave_1090",-0.119775584074686
"Wave_1091",-0.11679184818768
"Wave_1092",-0.108980842299626
"Wave_1093",-0.0967602077109115
"Wave_1094",-0.0946708554874116
"Wave_1095",-0.0882602499011995
"Wave_1096",-0.0767026212589283
"Wave_1097",-0.069477018098651
"Wave_1098",-0.0599694217914786
"Wave_1099",-0.053126970782036
"Wave_1100",-0.04754976166142
"Wave_1101",-0.0463094735383014
"Wave_1102",-0.0369626953311124
"Wave_1103",-0.029254665166517
"Wave_1104",-0.021167277296615
"Wave_1105",-0.0128441206674079
"Wave_1106",-0.00391670404830254
"Wave_1107",-0.00423681387461391
"Wave_1108",-0.000290877059001902
"Wave_1109",0.000543552052432998
"Wave_1110",-0.00192204100317431
"Wave_1111",0.00311070019817315
"Wave_1112",0.00399195046527559
"Wave_1113",0.00384668042111515
"Wave_1114",0.0185337708656781
"Wave_1115",0.0334617931443372
"Wave_1116",0.0484015505374505
"Wave_1117",0.0602286911821527
"Wave_1118",0.0631525919528205
"Wave_1119",0.068629594997721
"Wave_1120",0.0799702875163222
"Wave_1121",0.0984739005606662
"Wave_1122",0.0880264026477949
"Wave_1123",0.0739203545921494
"Wave_1124",0.0685881735395993
"Wave_1125",0.0811668471411932
"Wave_1126",0.0703704790662835
"Wave_1127",0.0596546397016393
"Wave_1128",0.0553947095355236
"Wave_1129",0.0526453070236761
"Wave_1130",0.0383042662142439
"Wave_1131",0.0239745010790287
"Wave_1132",0.0121372436113207
"Wave_1133",0.0056693198389216
"Wave_1134",0.00343146439665448
"Wave_1135",0.00123483565101434
"Wave_1136",0.00324872997365101
"Wave_1137",0.0033369538648092
"Wave_1138",-0.00199430246587103
"Wave_1139",-0.00716046907585387
"Wave_1140",-0.0104561465612694
"Wave_1141",-0.0250026263666733
"Wave_1142",-0.0351056011900504
"Wave_1143",-0.0470197160453119
"Wave_1144",-0.058921400470384
"Wave_1145",-0.0630224767150559
"Wave_1146",-0.0695809627625338
"Wave_1147",-0.095908442592467
"Wave_1148",-0.123857290810732
"Wave_1149",-0.133108431241461
"Wave_1150",-0.142392552021889
"Wave_1151",-0.158138212059379
"Wave_1152",-0.167945930007522
"Wave_1153",-0.170967979187899
"Wave_1154",-0.177468257959346
"Wave_1155",-0.19603448332262
"Wave_1156",-0.185767224528825
"Wave_1157",-0.171953885599567
"Wave_1158",-0.158550016232484
"Wave_1159",-0.151801134272393
"Wave_1160",-0.144697105242104
"Wave_1161",-0.137611249754516
"Wave_1162",-0.134464298349692
"Wave_1163",-0.131503826684942
"Wave_1164",-0.120857636266668
"Wave_1165",-0.110249517859002
"Wave_1166",-0.102164338681937
"Wave_1167",-0.0936349197672652
"Wave_1168",-0.082908140958678
"Wave_1169",-0.0721448194088711
"Wave_1170",-0.0617609692272517
"Wave_1171",-0.048554658926255
"Wave_1172",-0.0334334930184389
"Wave_1173",-0.0182554279486895
"Wave_1174",-0.00256883784810714
"Wave_1175",0.0142091787488092
"Wave_1176",0.0312144915701594
"Wave_1177",0.0471727996420043
"Wave_1178",0.0607537048689612
"Wave_1179",0.0752630363556027
"Wave_1180",0.0897909671689368
"Wave_1181",0.10408482330513
"Wave_1182",0.116543001192204
"Wave_1183",0.125053945886576
"Wave_1184",0.133535244588281
"Wave_1185",0.13792003084956
"Wave_1186",0.142121113263276
"Wave_1187",0.147195784310768
"Wave_1188",0.152250518616747
"Wave_1189",0.159929130636971
"Wave_1190",0.168367153565638
"Wave_1191",0.177158186007798
"Wave_1192",0.185608357093815
"Wave_1193",0.192439042813648
"Wave_1194",0.199230184357209
"Wave_1195",0.205963895017619
"Wave_1196",0.209975424772954
"Wave_1197",0.211337104105603
"Wave_1198",0.213548046718978
"Wave_1199",0.21570111051566
"Wave_1200",0.216638665425877
"Wave_1201",0.217977851818614
"Wave_1202",0.220577709814686
"Wave_1203",0.223209228476136
"Wave_1204",0.21839067975576
"Wave_1205",0.210060449661024
"Wave_1206",0.199900469407834
"Wave_1207",0.191957251834296
"Wave_1208",0.19304940300559
"Wave_1209",0.192011760913376
"Wave_1210",0.190405615425305
"Wave_1211",0.186697804544267
"Wave_1212",0.180014801012392
"Wave_1213",0.175091093711572
"Wave_1214",0.17014718803685
"Wave_1215",0.165257371895691
"Wave_1216",0.161253195749773
"Wave_1217",0.15939031628953
"Wave_1218",0.157551145056911
"Wave_1219",0.156186121420865
"Wave_1220",0.153090479514424
"Wave_1221",0.148162462219823
"Wave_1222",0.143121788715482
"Wave_1223",0.137169064156328
"Wave_1224",0.132790652091576
"Wave_1225",0.128779348963624
"Wave_1226",0.124354189348604
"Wave_1227",0.118742362859083
"Wave_1228",0.111658276721315
"Wave_1229",0.103025948260687
"Wave_1230",0.0994464780590333
"Wave_1231",0.0961551684716321
"Wave_1232",0.0952042116220413
"Wave_1233",0.0942531621387258
"Wave_1234",0.0934827864056522
"Wave_1235",0.0955631171537989
"Wave_1236",0.0988747581029764
"Wave_1237",0.105134814398013
"Wave_1238",0.107968893658346
"Wave_1239",0.104927571618517
"Wave_1240",0.101663912055121
"Wave_1241",0.0986086450363901
"Wave_1242",0.0962098835426597
"Wave_1243",0.0949676856688243
"Wave_1244",0.0921076353982779
"Wave_1245",0.0878615143762217
"Wave_1246",0.085648137825336
"Wave_1247",0.0845116924442113
"Wave_1248",0.0833525371674252
"Wave_1249",0.0842387667253233
"Wave_1250",0.0864796057439368
"Wave_1251",0.0916234351120053
"Wave_1252",0.0934949723342033
"Wave_1253",0.0989420907787433
"Wave_1254",0.102672161069292
"Wave_1255",0.105688388105884
"Wave_1256",0.111104385801824
"Wave_1257",0.116746845507502
"Wave_1258",0.121215488158225
"Wave_1259",0.129034164733246
"Wave_1260",0.132404379791233
"Wave_1261",0.134745187098754
"Wave_1262",0.130415199677752
"Wave_1263",0.126065619791456
"Wave_1264",0.120905415281542
"Wave_1265",0.110839704034248
"Wave_1266",0.0968418719545265
"Wave_1267",0.082830939499135
"Wave_1268",0.0680382030562917
"Wave_1269",0.048175350796504
"Wave_1270",0.0261969605612654
"Wave_1271",0.00446710236398506
"Wave_1272",-0.0161289221259788
"Wave_1273",-0.0372035156934635
"Wave_1274",-0.0598625866891391
"Wave_1275",-0.076162710154544
"Wave_1276",-0.0925668291016633
"Wave_1277",-0.108970123874457
"Wave_1278",-0.123935355043381
"Wave_1279",-0.139603746120094
"Wave_1280",-0.153439519633766
"Wave_1281",-0.166726833624866
"Wave_1282",-0.182751413941311
"Wave_1283",-0.194875519575306
"Wave_1284",-0.20789656580666
"Wave_1285",-0.221288526121457
"Wave_1286",-0.233940977768559
"Wave_1287",-0.243597278542417
"Wave_1288",-0.255160544112138
"Wave_1289",-0.268142296067943
"Wave_1290",-0.280014970406372
"Wave_1291",-0.290704913015125
"Wave_1292",-0.301799814591292
"Wave_1293",-0.312921782292118
"Wave_1294",-0.316056675678206
"Wave_1295",-0.320234448680078
"Wave_1296",-0.325249538774533
"Wave_1297",-0.331361418713011
"Wave_1298",-0.338233255021548
"Wave_1299",-0.345198416963143
"Wave_1300",-0.352175062549009
"Wave_1301",-0.358026234130703
"Wave_1302",-0.362015615134103
"Wave_1303",-0.368233808792643
"Wave_1304",-0.376442613863675
"Wave_1305",-0.381204799683222
"Wave_1306",-0.384121995420856
"Wave_1307",-0.389828930947161
"Wave_1308",-0.395550978568708
"Wave_1309",-0.394137555362694
"Wave_1310",-0.388174142111693
"Wave_1311",-0.378967974280135
"Wave_1312",-0.370726946525091
"Wave_1313",-0.37663781792644
"Wave_1314",-0.391413038735929
"Wave_1315",-0.409977282385874
"Wave_1316",-0.426058931748789
"Wave_1317",-0.436163338950812
"Wave_1318",-0.436912402566464
"Wave_1319",-0.43785532509321
"Wave_1320",-0.44011211136802
"Wave_1321",-0.445544523808639
"Wave_1322",-0.455755757109561
"Wave_1323",-0.466027044458313
"Wave_1324",-0.469893249402012
"Wave_1325",-0.469951386487062
"Wave_1326",-0.467727721368546
"Wave_1327",-0.465597973743397
"Wave_1328",-0.464632131968779
"Wave_1329",-0.457093490202179
"Wave_1501",-0.107597269932803
"Wave_1502",-0.102364508506822
"Wave_1503",-0.0941542946292232
"Wave_1504",-0.0844134876053181
"Wave_1505",-0.0748906909071944
"Wave_1506",-0.0663692649233999
"Wave_1507",-0.0595188758487376
"Wave_1508",-0.0527018525545857
"Wave_1509",-0.0426954325128062
"Wave_1510",-0.0330180383707092
"Wave_1511",-0.0268885220664599
"Wave_1512",-0.0207739683745406
"Wave_1513",-0.0193909552135244
"Wave_1514",-0.0149327287699414
"Wave_1515",-0.012636745542422
