"","Narea_g_m2.16.comps"
"Wave_770",0.000457009666077151
"Wave_771",0.00030090435515874
"Wave_772",0.00136116423710962
"Wave_773",0.00345018509671572
"Wave_774",0.00595050348181307
"Wave_775",0.00367885664294113
"Wave_776",0.000655101194493036
"Wave_777",0.00137323796691125
"Wave_778",0.00234639099040969
"Wave_779",0.00188694316760576
"Wave_780",0.00197200166662883
"Wave_781",-0.000221105793499322
"Wave_782",-0.000366256737747414
"Wave_783",-0.00131910061329347
"Wave_784",-0.000242541918696781
"Wave_785",0.00440173927042469
"Wave_786",0.0040040966752196
"Wave_787",0.00332912272951911
"Wave_788",0.00342205256700411
"Wave_789",0.000731549906757565
"Wave_790",-0.00142205419471535
"Wave_791",0.000407488374182649
"Wave_792",0.00242192749874662
"Wave_793",0.00192593279917593
"Wave_794",0.000343091698827552
"Wave_795",-0.00127963286554378
"Wave_796",-0.00252023165226286
"Wave_797",-0.00188828312710563
"Wave_798",0.000813278252102737
"Wave_799",0.00519609418854055
"Wave_800",0.00043963714153518
"Wave_801",-0.00167495814598415
"Wave_802",-0.00143750922584789
"Wave_803",-0.00220634414103699
"Wave_804",-0.00255945442486618
"Wave_805",-0.00155542198450317
"Wave_806",-0.0017623887725891
"Wave_807",-0.00341295094038255
"Wave_808",-0.00302894161885338
"Wave_809",-0.00649129637118411
"Wave_810",-0.00508862387072902
"Wave_811",-0.00284857345751546
"Wave_812",-0.00170050623476999
"Wave_813",-0.00292451920343917
"Wave_814",-0.00395632908489915
"Wave_815",-0.00355539245866969
"Wave_816",-0.00340308420577768
"Wave_817",-0.00388597788854896
"Wave_818",-0.00415714889209549
"Wave_819",-0.000717229783041578
"Wave_820",0.00054117408142779
"Wave_821",0.00127217486838682
"Wave_822",0.00197489088060847
"Wave_823",0.000132021143293116
"Wave_824",0.00167670234947379
"Wave_825",-0.000112910918986699
"Wave_826",-0.000636342505767322
"Wave_827",-0.000543872023489655
"Wave_828",-0.00425532985443959
"Wave_829",-0.00266474010833279
"Wave_830",-0.00170290155608217
"Wave_831",-0.00214684813522201
"Wave_832",-0.00289514154249249
"Wave_833",-0.00426803832097678
"Wave_834",-0.00573362164849795
"Wave_835",-0.00266974322822043
"Wave_836",-0.000534256702934089
"Wave_837",-0.00392986795751886
"Wave_838",-0.00792741543791981
"Wave_839",-0.00740606429249743
"Wave_840",-0.00563228099529416
"Wave_841",-0.000711049213867871
"Wave_842",0.00245668565459374
"Wave_843",-0.000194278187502611
"Wave_844",-0.00145292785463382
"Wave_845",-0.00261912917604038
"Wave_846",7.30659639862027e-05
"Wave_847",0.00150473442298146
"Wave_848",0.003270796794841
"Wave_849",-0.00136575230091503
"Wave_850",-0.00386591625860675
"Wave_851",-0.00653036264846401
"Wave_852",-0.00373555610668944
"Wave_853",0.000672735621272899
"Wave_854",-0.00205424592607287
"Wave_855",-0.00221169334776545
"Wave_856",-0.00132519293116642
"Wave_857",-0.000498908663723666
"Wave_858",0.00140342294710458
"Wave_859",0.00449110806670776
"Wave_860",0.0104611726339581
"Wave_861",0.00951170296190322
"Wave_862",0.0057583985514339
"Wave_863",0.000337978320640694
"Wave_864",-0.00142929958268212
"Wave_865",0.0011519774787928
"Wave_866",0.00134867307906036
"Wave_867",0.000998487208356749
"Wave_868",-0.000397315904107501
"Wave_869",-0.00117958664709557
"Wave_870",-0.00117694209332838
"Wave_871",-0.00357846501036177
"Wave_872",-0.00187868625073741
"Wave_873",-0.00552746252855188
"Wave_874",-0.00202492794537045
"Wave_875",0.00197885025438158
"Wave_876",0.0044772970994237
"Wave_877",0.000782599632680864
"Wave_878",0.000584242503307221
"Wave_879",0.000831319775553873
"Wave_880",-0.00155168484213154
"Wave_881",0.000593760551093892
"Wave_882",0.00151814032867691
"Wave_883",0.00154085334165656
"Wave_884",0.00360503985105704
"Wave_885",0.00500266971493733
"Wave_886",0.00163736911749473
"Wave_887",-0.00356537706977845
"Wave_888",-0.00434286870586372
"Wave_889",-0.00467913856566807
"Wave_890",-0.00201028369940633
"Wave_891",0.000634974690499362
"Wave_892",-0.00190496609412624
"Wave_893",-0.00029417417002194
"Wave_894",0.000390508234609425
"Wave_895",0.000986122154598273
"Wave_896",-0.000576705242264176
"Wave_897",0.000680669521829886
"Wave_898",0.000555899176650252
"Wave_899",0.00127230119183036
"Wave_900",-0.00230398397614836
"Wave_901",-0.00480798978201512
"Wave_902",-0.00332882565370187
"Wave_903",-0.00444112731316674
