"","Vcmax25_Rog.6.comps"
"Wave_759",0.0603775698153933
"Wave_760",0.0616533894038308
"Wave_761",0.0616966827495833
"Wave_762",0.061735605323229
"Wave_763",0.0614762290988079
"Wave_764",0.0622830693657695
"Wave_765",0.0624347913099324
"Wave_766",0.0620977544859574
"Wave_767",0.062302857844815
"Wave_768",0.0626465391151764
"Wave_769",0.0625700343749736
"Wave_770",0.0621292498217319
"Wave_771",0.0613340968035018
"Wave_772",0.0612555119524714
"Wave_773",0.060888481390156
"Wave_774",0.0594783777463298
"Wave_775",0.0609706554900782
"Wave_776",0.0609054954423086
"Wave_777",0.0589346337903921
"Wave_778",0.0586703662616364
"Wave_779",0.0585003917825804
"Wave_780",0.0584860772223595
"Wave_781",0.0584431400724849
"Wave_782",0.0584081127525969
"Wave_783",0.0586333311405973
"Wave_784",0.0583905737463844
"Wave_785",0.0565971389490367
"Wave_786",0.0567952131670003
"Wave_787",0.0570671944079704
"Wave_788",0.056522098417465
"Wave_789",0.0568087336503721
"Wave_790",0.0559075590224555
"Wave_791",0.054689925942814
"Wave_792",0.0540140501028965
"Wave_793",0.05392497378222
"Wave_794",0.0527448286838065
"Wave_795",0.0544140616345576
"Wave_796",0.0551939286879534
"Wave_797",0.0549154597907888
"Wave_798",0.0539586339995803
"Wave_799",0.0525760411126336
"Wave_800",0.0525273787240576
"Wave_801",0.05270153119078
"Wave_802",0.0529262048828065
"Wave_803",0.0537978302516065
"Wave_804",0.054812400644864
"Wave_805",0.0543084680510298
"Wave_806",0.0528870575321023
"Wave_807",0.0524753823815067
"Wave_808",0.0521334372654245
"Wave_809",0.0530048809197705
"Wave_810",0.0523079971475543
"Wave_811",0.0517528830615056
"Wave_812",0.0495250501805309
"Wave_813",0.0497303914082365
"Wave_814",0.051147905613608
"Wave_815",0.0499499425656929
"Wave_816",0.0510002661731069
"Wave_817",0.0503481709366418
"Wave_818",0.0499714723405365
"Wave_819",0.0498610077291191
"Wave_820",0.0482473126175582
"Wave_821",0.0470070581871917
"Wave_822",0.0461836427066729
"Wave_823",0.0468626737078053
"Wave_824",0.0480238202547549
"Wave_825",0.0478019132540639
"Wave_826",0.0477556428860037
"Wave_827",0.0469470747658609
"Wave_828",0.0474489857767698
"Wave_829",0.045950655323512
"Wave_830",0.0454813113992851
"Wave_831",0.0439022917173426
"Wave_832",0.0409243955639763
"Wave_833",0.0395494228194545
"Wave_834",0.0418554361712526
"Wave_835",0.0425921906178808
"Wave_836",0.0418933583561558
"Wave_837",0.0423346689431417
"Wave_838",0.0441418511678293
"Wave_839",0.0431306417337005
"Wave_840",0.0413910256311169
"Wave_841",0.0387272471200618
"Wave_842",0.0369609293318047
"Wave_843",0.0382111751221013
"Wave_844",0.0370959378553364
"Wave_845",0.0367648102711483
"Wave_846",0.0368679712963844
"Wave_847",0.0379510223843607
"Wave_848",0.034953937623832
"Wave_849",0.0372855061524771
"Wave_850",0.0370433154733804
"Wave_851",0.0361617454137721
"Wave_852",0.034110703737337
"Wave_853",0.033978915248369
"Wave_854",0.0355870542648493
"Wave_855",0.0348717982175743
"Wave_856",0.0340988689917896
"Wave_857",0.0319659215917666
"Wave_858",0.0300925016288951
"Wave_859",0.0319923638702895
"Wave_860",0.0295369146406276
"Wave_861",0.0317295476353822
"Wave_862",0.0303765565643742
"Wave_863",0.029473810434174
"Wave_864",0.0293054914879248
