"","CN_ratio.5.comps"
"Wave_793",-0.011991110709473
"Wave_794",-0.0111802197800576
"Wave_795",-0.0118653802447037
"Wave_796",-0.0113105452604143
"Wave_797",-0.00980268884362812
"Wave_798",-0.00967871017230876
"Wave_799",-0.00956140573965272
"Wave_800",-0.00915963370148264
"Wave_801",-0.00917823277657784
"Wave_802",-0.00874636072339958
"Wave_803",-0.00820507043423076
"Wave_804",-0.00800083726183315
"Wave_805",-0.00829324869870766
"Wave_806",-0.00807823116463409
"Wave_807",-0.00842625114051253
"Wave_808",-0.00760181154862821
"Wave_809",-0.00706633466535947
"Wave_810",-0.00659389065218382
"Wave_811",-0.00566977127582665
"Wave_812",-0.00473386368802536
"Wave_813",-0.00459440202763754
"Wave_814",-0.00401094589611361
"Wave_815",-0.00232105660168157
"Wave_816",-0.000996857229956852
"Wave_817",-0.000758652394617081
"Wave_818",-0.000282915794961472
"Wave_819",-0.00202802208712535
"Wave_820",-0.00279128694728639
"Wave_821",-0.00216238652176569
"Wave_822",-0.00146743839098678
"Wave_823",-0.000722132896817953
"Wave_824",-0.000335217358172944
"Wave_825",-0.00105491837108486
"Wave_826",-0.00213686392892498
"Wave_827",-0.000737185603210653
"Wave_828",-0.000539614155075365
"Wave_829",-0.000297546557775002
"Wave_830",2.90758859989989e-05
"Wave_831",-0.000297829036508828
"Wave_832",0.000605822339882607
"Wave_833",0.0011089148978045
"Wave_834",0.000823229043140574
"Wave_835",-2.45287237083682e-05
"Wave_836",0.000702021624412031
"Wave_837",0.000424687651910792
"Wave_838",-0.000696606642812121
"Wave_839",0.000974600793781886
"Wave_840",9.60230264224387e-05
"Wave_841",1.7804236430673e-05
"Wave_842",-0.000545772258104153
"Wave_843",-0.00116252577333076
"Wave_844",0.000225746973246648
"Wave_845",0.000979978294573465
"Wave_846",0.000467646910128888
"Wave_847",-0.000758039578046266
"Wave_848",0.00297736838250276
"Wave_849",0.00108283714957162
"Wave_850",0.00042170727026661
"Wave_851",0.00151916680281612
"Wave_852",0.00215316972419547
"Wave_853",0.00269505481473839
"Wave_854",0.00341518228236038
"Wave_855",0.00270069384247702
"Wave_856",0.00229009985021075
"Wave_857",0.00278273583489705
"Wave_858",0.00347256731389186
"Wave_859",0.00217377473848944
"Wave_860",0.00366054773178694
"Wave_861",0.00376235087680052
"Wave_862",0.00563179410762441
"Wave_863",0.00435053259196329
"Wave_864",0.00439180859790334
"Wave_865",0.00551057841962772
"Wave_866",0.00740334105990467
"Wave_867",0.00670115459150746
"Wave_868",0.00692573518632788
"Wave_869",0.00703777361209397
"Wave_870",0.0063439257562773
"Wave_871",0.00719834714745208
"Wave_872",0.00581981608181799
"Wave_873",0.00632163703648165
"Wave_874",0.00709990489189538
"Wave_875",0.00884038174127874
"Wave_876",0.0090327835511621
"Wave_877",0.0111947402320525
"Wave_878",0.00620703788573368
"Wave_879",0.008782289461382
"Wave_880",0.0101383271762409
"Wave_881",0.00870339567663728
"Wave_882",0.00899537155907171
"Wave_883",0.00801417800122555
"Wave_884",0.0104072815579657
"Wave_885",0.010870455716662
"Wave_886",0.0109228193265972
"Wave_887",0.0105309770972963
"Wave_888",0.0106741993272621
"Wave_889",0.0122868878257152
"Wave_890",0.0118616357352921
"Wave_891",0.0119426859206583
"Wave_892",0.0105597867663455
"Wave_893",0.0119629234186657
"Wave_894",0.0126514354100638
"Wave_895",0.0133395978943557
"Wave_896",0.0131704343623548
"Wave_897",0.014372030634249
"Wave_898",0.0150950535844666
"Wave_899",0.0182867875984199
"Wave_900",0.0176921673592828
"Wave_901",0.0176031696825262
"Wave_902",0.0164393538577264
"Wave_903",0.0149345770208548
"Wave_904",0.0147765519533268
"Wave_905",0.0123099879433831
"Wave_906",0.0123569080379354
"Wave_907",0.0164966182251284
"Wave_908",0.0179619236668358
"Wave_909",0.0192131756274468
