"","Vcmax25_Bern.4.comps"
"Wave_608",0.0246304378836543
"Wave_609",0.0250183440752394
"Wave_610",0.0255018375880129
"Wave_611",0.0260447293584064
"Wave_612",0.0266411772518501
"Wave_613",0.027285782172053
"Wave_614",0.0277295345321309
"Wave_615",0.0278687216147591
"Wave_616",0.0280055495186422
"Wave_617",0.0282604449366729
"Wave_618",0.0284019946966437
"Wave_619",0.0285891042046625
"Wave_620",0.028789909905525
"Wave_621",0.0289747256970639
"Wave_622",0.0290849315147641
"Wave_623",0.0292235821339404
"Wave_624",0.0293599798664635
"Wave_625",0.0295387447068898
"Wave_626",0.0297703237440541
"Wave_627",0.0299299129963044
"Wave_628",0.0299971599589185
"Wave_629",0.0299721581333844
"Wave_630",0.0297906606529175
"Wave_631",0.0296176206154515
"Wave_632",0.0296193256359249
"Wave_633",0.029991889857613
"Wave_634",0.0303270560438472
"Wave_635",0.0306011159668131
"Wave_636",0.0310862647105557
"Wave_637",0.0318577755523373
"Wave_638",0.0327129701733862
"Wave_639",0.033649061716718
"Wave_640",0.0346962122306894
"Wave_641",0.0355366609824545
"Wave_642",0.0364032244322829
"Wave_643",0.0373622037901983
"Wave_644",0.038054260224884
"Wave_645",0.0385496391056685
"Wave_646",0.0390895803933011
"Wave_647",0.0398931032973019
"Wave_648",0.0403221698022841
"Wave_649",0.0405503823467124
"Wave_650",0.040635332236144
"Wave_651",0.0404094336350038
"Wave_652",0.040119480217915
"Wave_653",0.0400337472899112
"Wave_654",0.040083770626459
"Wave_655",0.0402862816595542
"Wave_656",0.0400101505336826
"Wave_657",0.0397875506118981
"Wave_658",0.0396911170847055
"Wave_659",0.0393238041618083
"Wave_660",0.0393117320321156
"Wave_661",0.0393716194122021
"Wave_662",0.0392554172680091
"Wave_663",0.0391080268663044
"Wave_664",0.0390690200015259
"Wave_665",0.0388392284590598
"Wave_666",0.0385085601916878
"Wave_667",0.0381854861108041
"Wave_668",0.0381242312479948
"Wave_669",0.038168570964484
"Wave_670",0.0382175299913617
"Wave_671",0.0383458159091853
"Wave_672",0.0382984378971442
"Wave_673",0.0381820814319465
"Wave_674",0.0381088367472525
"Wave_675",0.0380822345951445
"Wave_676",0.0382547271789711
"Wave_677",0.0383165496962241
"Wave_678",0.0381518802494198
"Wave_679",0.0382790494708837
"Wave_680",0.0381845851816348
"Wave_681",0.0380635027246366
"Wave_682",0.038030041018784
"Wave_683",0.0378299734522987
"Wave_684",0.0374461138507631
"Wave_685",0.0367837324144405
"Wave_686",0.0366601602325231
"Wave_687",0.0362752937179549
"Wave_688",0.0354379402332081
"Wave_689",0.0339186873698253
"Wave_690",0.0323904037450179
"Wave_691",0.02988444039629
"Wave_692",0.0269556937720212
"Wave_693",0.0241450940316223
"Wave_694",0.0198214512292444
"Wave_695",0.0168822746960025
"Wave_696",0.0131052572749245
"Wave_697",0.00814780330363637
"Wave_698",0.00190152805191615
"Wave_699",-0.00367480592935649
"Wave_700",-0.00872369981098467
"Wave_701",-0.0149347559675213
"Wave_702",-0.0206696872367354
"Wave_703",-0.0266568640461041
"Wave_704",-0.033121687626522
"Wave_705",-0.0398743805886622
"Wave_706",-0.0442812656654402
"Wave_707",-0.050439044109018
"Wave_708",-0.0566438521221066
"Wave_709",-0.0629930512822425
"Wave_710",-0.0674208534446538
"Wave_711",-0.0700212917775577
"Wave_712",-0.0740917923445869
"Wave_713",-0.0792773575228422
"Wave_714",-0.0827071199256547
"Wave_715",-0.0842230238230935
"Wave_716",-0.0869409018483702
"Wave_717",-0.0885135112582698
"Wave_718",-0.0875547059664598
"Wave_719",-0.0887515987598788
"Wave_720",-0.0884774167964339
"Wave_721",-0.0879697760764561
"Wave_722",-0.0877686576887629
"Wave_723",-0.0868274310859187
"Wave_724",-0.0840812092682427
"Wave_725",-0.0807879122111501
"Wave_726",-0.0774042370816948
"Wave_727",-0.0733346343684656
"Wave_728",-0.0705642607803642
"Wave_729",-0.0670569377508623
"Wave_730",-0.0625980727776572
"Wave_731",-0.059280487934298
"Wave_732",-0.0549536232094753
"Wave_733",-0.0510447158784221
"Wave_734",-0.0477790509889356
"Wave_735",-0.0448506750586429
"Wave_736",-0.0393292312364196
"Wave_737",-0.0358913317739505
"Wave_738",-0.0322624224398396
"Wave_739",-0.0284346484361881
"Wave_740",-0.0243175038112396
"Wave_741",-0.0221145691984047
"Wave_742",-0.0183134489530224
"Wave_743",-0.0156990426055211
"Wave_744",-0.0134787244055564
"Wave_745",-0.0100336504050324
"Wave_746",-0.00746580148979394
"Wave_747",-0.00509372029690484
"Wave_748",-0.00406725352136363
"Wave_749",-0.00178466649440716
"Wave_750",-0.000369477644992048
"Wave_751",0.00139975232288642
"Wave_752",0.00351990724826206
"Wave_753",0.00446660249678432
"Wave_754",0.00590821709762081
"Wave_755",0.00766650473842412
"Wave_756",0.00923511042173519
"Wave_757",0.0100952433693983
"Wave_758",0.0105152405133647
"Wave_759",0.0115466012136759
"Wave_760",0.0126107807308179
"Wave_761",0.0131370375426901
"Wave_762",0.0137249732251533
"Wave_763",0.014305684423628
"Wave_764",0.0144342559888229
"Wave_765",0.0146529262079231
"Wave_766",0.0150967251296196
"Wave_767",0.0159989461533331
"Wave_768",0.0165071012144738
"Wave_769",0.0167916447814809
"Wave_770",0.0165423978464704
"Wave_771",0.0161172645073526
