"","Narea_g_m2.11.comps"
"Wave_1041",0.00031010667810025
"Wave_1042",-0.000250790255910004
"Wave_1043",-4.28772145586728e-05
"Wave_1044",0.000239074962763155
"Wave_1045",0.000616270586487932
"Wave_1046",0.000915668477274732
"Wave_1047",0.00124683019056722
"Wave_1048",0.00144767500207939
"Wave_1049",0.00140070843513432
"Wave_1050",0.00149133345155638
"Wave_1051",0.00147769792907234
"Wave_1052",0.0014962899228461
"Wave_1053",0.00154693683236119
"Wave_1054",0.00164767964181054
"Wave_1055",0.00175938190266835
"Wave_1056",0.0018453297001982
"Wave_1057",0.0019796237210053
"Wave_1058",0.00213171433409341
"Wave_1059",0.0030093200236867
"Wave_1060",0.00242253753808202
"Wave_1061",0.00248733131457261
"Wave_1062",0.00258929135655758
"Wave_1063",0.00256427320455167
"Wave_1064",0.00247887339577056
"Wave_1065",0.00246874859270293
"Wave_1066",0.00255404403705399
"Wave_1067",0.00257413107757044
"Wave_1068",0.00264512433198068
"Wave_1069",0.00281360152714283
"Wave_1070",0.00294830011138632
"Wave_1071",0.00283786994400826
"Wave_1072",0.00343896021920962
"Wave_1073",0.0032983328830268
"Wave_1074",0.00315371697778787
"Wave_1075",0.0029463775851115
"Wave_1076",0.00275130846115881
"Wave_1077",0.00258528410786942
"Wave_1078",0.00250498743924879
"Wave_1079",0.00245063576582952
"Wave_1080",0.00246647941126203
"Wave_1081",0.00251859041224818
"Wave_1082",0.00261025958136762
"Wave_1083",0.00252438790321215
"Wave_1084",0.0023991919391624
"Wave_1085",0.00225448116201063
"Wave_1086",0.00200146668204059
"Wave_1087",0.00190662047830894
"Wave_1088",0.00195879803162697
"Wave_1089",0.00201230582781477
"Wave_1090",0.00126415883741403
"Wave_1091",0.00184447938482971
"Wave_1092",0.00190585148099616
"Wave_1093",0.00132937191210486
"Wave_1094",0.00200275982386579
"Wave_1095",0.0019760497577471
"Wave_1096",0.00126824353210723
"Wave_1097",0.0012028611862452
"Wave_1098",0.00120987794971572
"Wave_1099",0.00117562673748392
"Wave_1100",0.00111977083983837
"Wave_1101",0.00171032665998667
"Wave_1102",0.000976616114409801
"Wave_1103",0.000849489650819916
"Wave_1104",0.00071607486331876
"Wave_1105",7.28637229505959e-05
"Wave_1106",-0.000810128133610995
"Wave_1107",-0.00101593458037484
"Wave_1108",-0.00187833833342461
"Wave_1109",-0.00301351292460087
"Wave_1110",-0.00427197115141674
"Wave_1111",-0.00570033122356031
"Wave_1112",-0.00644510965658077
"Wave_1113",-0.00715515890736241
"Wave_1114",-0.00915370766137871
"Wave_1115",-0.0101103976537779
"Wave_1116",-0.0107236608739011
"Wave_1117",-0.0107331557870592
"Wave_1118",-0.0102007718584476
"Wave_1119",-0.0103290119656856
"Wave_1120",-0.0106720136179414
"Wave_1121",-0.0091905787860097
"Wave_1122",-0.00839241331310454
"Wave_1123",-0.0075901401566017
"Wave_1124",-0.00707688337513542
"Wave_1125",-0.0065182493406159
"Wave_1126",-0.00563934285926042
"Wave_1127",-0.00475600295853075
"Wave_1128",-0.00393440579619747
"Wave_1129",-0.00317770309430212
"Wave_1130",-0.00251049952382101
"Wave_1131",-0.00188442342324401
