"Sample_ID","Sample_Date","USDA_Species_Code","Cmass_mg_g","Nmass_mg_g","LMA_gDW_m2","LWC","Carea_g_m2","Narea_g_m2","CN_ratio"
"BNL2235",20160726,"ALVIF",477.9,28.6,71,NA,33.931,2.031,16.71
"BNL2234",20160726,"SAPU15",494.9,18.6,71.73,NA,35.497,1.334,26.608
"BNL2233",20160726,"ALVIF",483,23.5,106.28,NA,51.333,2.498,20.553
"BNL2232",20160726,"ALVIF",479.7,21,104.29,NA,50.029,2.19,22.843
"BNL2231",20160726,"ALVIF",486.8,21.7,110.63,NA,53.853,2.401,22.433
"BNL2230",20160726,"ALVIF",492.1,23.7,106.06,NA,52.192,2.514,20.764
"BNL2229",20160726,"ALVIF",461.2,24.6,85.14,NA,39.267,2.094,18.748
"BNL2228",20160726,"ALVIF",483.9,20.4,108.42,NA,52.462,2.212,23.721
"BNL2224",20160726,"ALVIF",488.6,22,114.46,NA,55.923,2.518,22.209
"BNL2222",20160726,"SAPU15",492.5,15.9,85.53,NA,42.121,1.36,30.975
"BNL2221",20160726,"SAPU15",487.2,17,88.68,NA,43.205,1.508,28.659
"BNL2220",20160726,"ALVIF",495.1,27.6,99.49,NA,49.259,2.746,17.938
"BNL2219",20160726,"ALVIF",488.2,25.1,105.54,NA,51.526,2.649,19.45
"BNL2218",20160726,"ALVIF",491.3,23.8,99.65,NA,48.959,2.372,20.643
"BNL2217",20160726,"ALVIF",479.8,28.5,94.78,NA,45.475,2.701,16.835
"BNL2216",20160726,"ALVIF",491.5,23.1,100.17,NA,49.232,2.314,21.277
"BNL2215",20160726,"ALVIF",490.9,26.6,92.09,NA,45.205,2.449,18.455
"BNL2201",20160726,"SARI4",456.4,24.3,69.06,NA,31.517,1.678,18.782
"BNL2202",20160726,"SAPU15",502.4,18.9,72.32,NA,36.335,1.367,26.582
"BNL2203",20160726,"SAPU15",495.3,19.4,80.55,NA,39.897,1.563,25.531
"BNL2204",20160726,"ALVIF",476.9,22.6,111.48,NA,53.165,2.519,21.102
"BNL2205",20160726,"SARI4",467,22.6,99.41,NA,46.422,2.247,20.664
"BNL2206",20160726,"SARI4",446,18.2,85.34,NA,38.061,1.553,24.505
"BNL2207",20160726,"SARI4",453.2,19.3,120,NA,54.386,2.316,23.482
"BNL2208",20160726,"SARI4",458.9,15.8,99.09,NA,45.471,1.566,29.044
"BNL2209",20160726,"SARI4",459.6,24.8,121.72,NA,55.94,3.019,18.532
"BNL2210",20160726,"SARI4",458,24.3,127.37,NA,58.335,3.095,18.848
"BNL2211",20160726,"SARI4",453.8,24.5,117.59,NA,53.363,2.881,18.522
"BNL2212",20160726,"SAPU15",500.2,22.6,104.93,NA,52.484,2.371,22.133
"BNL2213",20160726,"SAPU15",500,24.6,111.65,NA,55.827,2.747,20.325
"BNL2214",20160726,"SAPU15",503.8,23.2,98.36,NA,49.554,2.282,21.716
"BNL2181",20160726,"ALVIF",477.7,24.7,100.63,NA,48.069,2.485,19.34
"BNL2223",20160726,"ALVIF",479.5,24.3,89.05,NA,42.697,2.164,19.733
"BNL2225",20160726,"SAPU15",497.1,17.2,99.15,NA,49.285,1.705,28.901
"BNL2226",20160726,"SAPU15",496.8,21.2,106.08,NA,52.701,2.249,23.434
"BNL2227",20160726,"ALVIF",477.3,21.6,100.02,NA,47.739,2.16,22.097
"BNL2194",20160726,"SAPU15",507.7,23.4,86.39,NA,43.861,2.022,21.697
"BNL2195",20160726,"SAPU15",505,16,95.67,NA,48.314,1.531,31.563
"BNL2196",20160726,"ALVIF",483.6,17.3,102.33,NA,49.486,1.77,27.954
"BNL2197",20160726,"SAPU15",490.3,19.5,91.02,NA,44.628,1.775,25.144
"BNL2198",20160726,"SAPU15",473.1,27.1,109.53,NA,51.82,2.968,17.458
"BNL2199",20160726,"SARI4",447.6,21.1,106.41,NA,47.63,2.245,21.213
"BNL2200",20160726,"SAPU15",494.4,21.7,101.26,NA,50.065,2.197,22.783
"BNL2267",20160726,"SAPU15",493,14.6,88.79,NA,43.773,1.296,33.767
"BNL2268",20160726,"SARI4",451.8,21,102.78,NA,46.434,2.158,21.514
"BNLNA",20160726,"ALVIF",NA,NA,NA,NA,NA,NA,NA
"BNL2269",20160726,"ALVIF",488.2,24.5,99.52,NA,48.588,2.438,19.927
"BNL2270",20160726,"BEGL",501.8,19.6,122.09,NA,61.263,2.393,25.602
"BNL2271",20160726,"BEGL",498.3,26.9,82.88,NA,41.301,2.23,18.524
"BNLNA",20160726,"BEGL",NA,NA,NA,NA,NA,NA,NA
"BNL2272",20160726,"BEGL",471.5,26.2,68.47,NA,32.282,1.794,17.996
"BNL2273",20160726,"ALVIF",491,21.2,97.48,NA,47.864,2.067,23.16
"BNL2274",20160726,"BEGL",456.8,31,63.05,NA,28.8,1.954,14.735
"BNL2275",20160726,"BEGL",483.1,30.9,93.1,NA,44.975,2.877,15.634
"BNL2276",20160726,"ALVIF",487.6,19.1,86.03,NA,41.946,1.643,25.529
"BNL2277",20160726,"ALVIF",488.1,17.3,96.63,NA,47.166,1.672,28.214
"BNLNA",20160726,"ALVIF",NA,NA,NA,NA,NA,NA,NA
"BNL2278",20160726,"ALVIF",481.9,19,90.08,NA,43.412,1.712,25.363
"BNL2279",20160726,"ALVIF",483.8,21,103.33,NA,49.993,2.17,23.038
"BNL2280",20160726,"ALVIF",483.1,19.4,104.36,NA,50.415,2.025,24.902
"BNL2281",20160726,"ALVIF",484.8,17.7,100.17,NA,48.561,1.773,27.39
"BNL2282",20160726,"ALVIF",486.1,20.9,112.02,NA,54.455,2.341,23.258
"BNL2283",20160726,"ALVIF",491.8,23.6,99.99,NA,49.175,2.36,20.839
"BNL2284",20160726,"ALVIF",495.6,21.2,87.92,NA,43.575,1.864,23.377
"BNL2285",20160726,"ALVIF",483.4,22.9,95.97,NA,46.391,2.198,21.109
"BNL2286",20160726,"ALVIF",489.1,26.3,86.94,NA,42.523,2.287,18.597
"BNL2287",20160726,"ALVIF",492.6,24.7,96.04,NA,47.31,2.372,19.943
"BNL2288",20160726,"ALVIF",495.2,21.3,105.52,NA,52.255,2.248,23.249
"BNL2289",20160726,"ALVIF",491.3,21.8,77.84,NA,38.244,1.697,22.537
"BNL2290",20160726,"ALVIF",477.9,21.6,96.36,NA,46.052,2.081,22.125
"BNL2291",20160726,"ALVIF",481.4,23.2,97.75,NA,47.057,2.268,20.75
"BNL2292",20160726,"ALVIF",483.7,24.8,87.79,NA,42.466,2.177,19.504
"BNL2293",20160726,"ALVIF",489,28.8,76.89,NA,37.601,2.215,16.979
"BNLNA",20160726,"ALVIF",NA,NA,NA,NA,NA,NA,NA
"BNL2294",20160726,"ALVIF",490.8,30.6,72.57,NA,35.618,2.221,16.039
"BNL2295",20160726,"ALVIF",493,26.1,73.65,NA,36.311,1.922,18.889
"BNL2296",20160726,"ALVIF",496.2,25.6,89.27,NA,44.294,2.285,19.383
"BNLNA",20160726,"",NA,NA,NA,NA,NA,NA,NA
"BNLNA",20160726,"",NA,NA,NA,NA,NA,NA,NA
"BNLNA",20160726,"",NA,NA,NA,NA,NA,NA,NA
"BNLNA",20160726,"",NA,NA,NA,NA,NA,NA,NA
"BNLNA",20160726,"",NA,NA,NA,NA,NA,NA,NA
"BNLNA",20160726,"",NA,NA,NA,NA,NA,NA,NA
"BNLNA",20160726,"",NA,NA,NA,NA,NA,NA,NA
"BNLNA",20160726,"",NA,NA,NA,NA,NA,NA,NA
"BNL2297",20160726,"SAGL",473,18,113.23,NA,53.558,2.038,26.278
"BNLNA",20160726,"",NA,NA,NA,NA,NA,NA,NA
"BNLNA",20160726,"",NA,NA,NA,NA,NA,NA,NA
"BNLNA",20160726,"",NA,NA,NA,NA,NA,NA,NA
"BNL2298",20160726,"SAGL",481.5,25,116.26,NA,55.979,2.907,19.26
"BNL2299",20160726,"SAGL",487.8,20.5,97.27,NA,47.45,1.994,23.795
"BNL2300",20160726,"SAGL",493.9,24.5,100.16,NA,49.468,2.454,20.159
"BNL2301",20160726,"SAGL",487.5,23.2,97.22,NA,47.392,2.255,21.013
"BNL2302",20160726,"SAGL",479.5,15.5,97.66,NA,46.826,1.514,30.935
"BNL2303",20160726,"SAGL",487.8,18.6,93.75,NA,45.729,1.744,26.226
"BNL2304",20160726,"SAGL",475.4,17,87.07,NA,41.393,1.48,27.965
"BNL2305",20160726,"SAGL",486.6,19.2,106.34,NA,51.747,2.042,25.344
"BNL2306",20160726,"SAGL",473.8,26.5,104.1,NA,49.323,2.759,17.879
"BNL2307",20160726,"SAGL",474.5,17,88.33,NA,41.911,1.502,27.912
"BNL2308",20160726,"SAGL",486.8,21.4,91.13,NA,44.363,1.95,22.748
"BNL2309",20160726,"SAGL",483.6,23.8,91.4,NA,44.2,2.175,20.319
"BNL2310",20160726,"BEGL",478.6,19.9,123,NA,58.867,2.448,24.05
"BNL2311",20160726,"BEGL",484.7,16,135.08,NA,65.472,2.161,30.294
"BNL2312",20160726,"BEGL",484.6,16.8,124.18,NA,60.176,2.086,28.845
"BNL2313",20160726,"BEGL",484.3,25.3,117.99,NA,57.143,2.985,19.142
"BNL2314",20160726,"ALVIF",494.9,20.2,101.01,NA,49.989,2.04,24.5
"BNL2315",20160726,"SAGL",491.6,24.2,109.03,NA,53.597,2.638,20.314
"BNL2316",20160726,"SAGL",486,30.2,100.12,NA,48.658,3.024,16.093
"BNL2317",20160726,"BEGL",490.7,23.7,108.12,NA,53.055,2.562,20.705
"BNL2318",20160726,"SAGL",469.7,21,96.57,NA,45.359,2.028,22.367
"BNL2319",20160726,"SAPU15",491.9,18.4,112.86,NA,55.514,2.077,26.734
"BNL2320",20160726,"SAPU15",490.4,15.4,104.46,NA,51.228,1.609,31.844
"BNL2321",20160726,"SAPU15",511.9,18.4,109.74,NA,56.175,2.019,27.821
"BNL2322",20160726,"SAGL",463.2,18,83.04,NA,38.464,1.495,25.733
"BNL2323",20160726,"SAPU15",494.1,18.5,87.85,NA,43.407,1.625,26.708
"BNL2324",20160726,"ALVIF",488.5,27.9,109.11,NA,53.301,3.044,17.509
"BNL2325",20160726,"SAPU15",493.4,18.9,100.82,NA,49.746,1.906,26.106
"BNL2326",20160726,"SAPU15",495.6,16.7,92.58,NA,45.882,1.546,29.677
"BNL2327",20160726,"SAPU15",493.7,19.1,96.39,NA,47.588,1.841,25.848
"BNL2328",20160726,"SAPU15",508.4,16,93.88,NA,47.731,1.502,31.775
"BNL2329",20160726,"SAGL",478.5,19.3,110.4,NA,52.825,2.131,24.793
"BNL2330",20160726,"SAPU15",468.9,16.3,90.77,NA,42.56,1.479,28.767
"BNL2331",20160726,"ALVIF",492.5,18.7,109.59,NA,53.975,2.049,26.337
"BNL2332",20160726,"ALVIF",486.3,22,99.58,NA,48.425,2.191,22.105
"BNL2333",20160726,"SAGL",490.3,15.4,97.44,NA,47.777,1.501,31.838
"BNL2334",20160726,"BEGL",424.3,15.4,98.1,NA,41.626,1.511,27.552
"BNL2335",20160726,"BEGL",496.5,21.8,117.11,NA,58.144,2.553,22.775
"BNL2336",20160726,"BEGL",488.8,23,97.96,NA,47.882,2.253,21.252
"BNL2337",20160726,"BEGL",490.4,24.2,99.58,NA,48.833,2.41,20.264
"BNL2338",20160726,"BEGL",495.9,14.4,111.95,NA,55.517,1.612,34.438
"BNL2339",20160726,"ALVIF",486.4,28,101.35,NA,49.294,2.838,17.371
"BNL2340",20160726,"ALVIF",484.6,36.1,76.6,NA,37.12,2.765,13.424
"BNL2341",20160726,"ALVIF",475,18.4,106.71,NA,50.689,1.964,25.815
"BNL2343",20160728,"SAPU15",501.8,18.9,92.9,NA,46.617,1.756,26.55
"BNL2344",20160728,"SAPU15",503.7,22.3,84.55,NA,42.589,1.886,22.587
"BNL2345",20160728,"SAPU15",505.2,17,90.74,NA,45.842,1.543,29.718
"BNL2346",20160728,"SAPU15",507.5,18.4,89.76,NA,45.552,1.652,27.582
"BNL2347",20160728,"SAPU15",496.7,20.5,96.04,NA,47.704,1.969,24.229
"BNL2348",20160728,"SAALA",476.1,19.9,106.31,NA,50.615,2.116,23.925
"BNL2349",20160728,"SAALA",483.4,25.2,108.16,NA,52.286,2.726,19.183
"BNL2350",20160728,"SAALA",465.2,22,105.18,NA,48.928,2.314,21.145
"BNL2351",20160728,"VAUL",503.9,16.3,86.72,NA,43.696,1.413,30.914
"BNL2352",20160728,"VAUL",498.3,15.7,93.49,NA,46.585,1.468,31.739
"BNL2353",20160728,"VAUL",503,15,86.05,NA,43.284,1.291,33.533
"BNL2354",20160728,"VAUL",508.6,18.6,89.4,NA,45.467,1.663,27.344
"BNL2355",20160728,"PEFR5",430,20.1,78.07,NA,33.571,1.569,21.393
"BNL2356",20160728,"ARRU",475.6,14.5,86.76,NA,41.264,1.258,32.8
"BNL2357",20160728,"ARRU",544.3,20.1,85.24,NA,46.396,1.713,27.08
"BNL2358",20160728,"CHLA13",424.2,22.7,60.35,NA,25.602,1.37,18.687
"BNL2359",20160728,"CHLA13",431.1,23.3,57.74,NA,24.893,1.345,18.502
"BNL2360",20160728,"PEFR5",423.3,14.4,55.89,NA,23.659,0.805,29.396
