"Location","Sample_ID","Sample_Date","USDA_Species_Code","Asat","Tleaf","Ci","VcmaxT_one_point","Vcmax25_Rog","Vcmax25_Bern"
"Utqiagvik","BNL2054",20160717,"ERAN6",11.08,4.99,348,16,77.2675923808274,106.541907665089
"Utqiagvik","BNL2055",20160717,"ERAN6",10.2,5.25,323,15,70.8683486899291,97.2823156218354
"Utqiagvik","BNL2056",20160717,"ERAN6",6.03,5.19,290,9,42.7364127295973,58.7255872352396
"Utqiagvik","BNL2061",20160717,"ERAN6",13.68,5.09,343,20,95.7734553558902,131.832073819781
"Utqiagvik","BNL2062",20160717,"ERAN6",9.36,4.88,347,14,68.2396728667779,94.2719570155808
"Utqiagvik","BNL2063",20160717,"ERAN6",11.15,4.92,330,16,77.7253189739815,107.30227605222
"Utqiagvik","BNL2064",20160717,"ERAN6",8.38,5.03,367,12,57.7555112821457,79.5825026797432
"Utqiagvik","BNL2065",20160717,"ERAN6",8.92,5.59,350,13,59.6879612621641,81.4582186806845
"Utqiagvik","BNL2066",20160717,"ERAN6",10.58,5.51,345,16,73.9575391382581,101.070906040962
"Utqiagvik","BNL2071",20160717,"ERAN6",9.78,5.31,342,14,65.8105521389797,90.2463397450469
"Utqiagvik","BNL2072",20160717,"ERAN6",8.75,5.14,348,13,61.9909628116398,85.2571733963344
"Utqiagvik","BNL2100",20160717,"ERAN6",12.35,5.12,338,18,85.9784295244678,118.288191516647
"Utqiagvik","BNL2101",20160717,"ERAN6",9.96,5.43,343,15,69.8030632210809,95.5243461557231
"Utqiagvik","BNL2102",20160717,"ERAN6",10.25,4.99,355,15,72.4383678570257,99.8830384360212
"Utqiagvik","BNL1815",20160708,"PEFR5",43.77,21.38,1550,61,79.829795829335,84.3337598865298
"Utqiagvik","BNL1816",20160708,"PEFR5",17.13,19.4,270,53,80.5821106305721,87.7732668190177
"Utqiagvik","BNL1817",20160708,"PEFR5",12.02,17.65,281,33,57.3822140697559,64.238483215074
"Utqiagvik","BNL1925",20160713,"PEFR5",11.5,25.23,208,71,69.8121319453107,69.5722376562619
"Utqiagvik","BNL1927",20160713,"PEFR5",12.45,25.39,218,74,71.9140215286123,71.49572174331
"Utqiagvik","BNL1928",20160713,"PEFR5",11.66,25.24,233,64,62.8831368236947,62.6576819626363
"Utqiagvik","BNL1948",20160713,"PEFR5",14.9,25.19,229,83,81.8510342985845,81.6185856571699
"Utqiagvik","BNL1949",20160713,"PEFR5",11.97,25.18,193,81,79.9373106950985,79.7222216440443
"Utqiagvik","BNL1993",20160716,"PEFR5",11.27,15.44,204,34,70.20658957625,81.399705945043
"Utqiagvik","BNL1994",20160716,"PEFR5",11.43,16.29,228,33,63.7634810585549,72.9344861888977
"Utqiagvik","BNL1995",20160716,"PEFR5",15.96,15.48,232,44,90.571301697977,104.944068041337
"Utqiagvik","BNL2033",20160716,"PEFR5",10.39,17.5,182,40,70.3644363996724,78.9582238891731
"Utqiagvik","BNL2034",20160716,"PEFR5",16.73,15.54,222,48,98.3418417243027,113.838524217968
"Utqiagvik","BNL2035",20160716,"PEFR5",14.38,15.09,194,44,93.384916305433,108.881632549197
"Utqiagvik","BNL2036",20160716,"PEFR5",15.57,15.31,215,45,93.8722910553861,109.064985874955
